pattern,offset_0,offset_1,offset_2,offset_3,offset_4
NNNNN,-67.0697,-67.8212,-65.3241,-59.8399,-72.1213
NNNNP,-46.781,-43.7017,-43.4212,-40.6335,-50.6083
NNNPN,-51.5303,-46.63,-50.5135,-51.1395,-49.1191
NNNPP,-21.7448,-23.7073,-18.1109,-24.182,-28.2474
NNPNN,-48.7302,-48.1816,-52.0074,-39.9232,-40.7549
NNPNP,-22.6561,-21.7319,-20.4628,-21.1055,-24.884
NNPPN,-27.6117,-23.5278,-22.7695,-19.9017,-28.2031
NNPPP,13.0406,19.4747,5.0934,6.269,9.719
NPNNN,-45.0312,-45.4755,-58.3405,-49.3347,-45.2197
NPNNP,-20.0961,-19.9471,-19.5547,-19.9826,-20.3334
NPNPN,-23.0363,-16.2086,-16.5692,-14.4943,-16.2246
NPNPP,8.1563,4.4919,5.2987,8.5771,9.576
NPPNN,-18.5765,-28.0072,-25.5452,-17.5663,-26.0223
NPPNP,10.1699,10.4495,7.0752,9.1958,11.3983
NPPPN,8.6569,13.897,16.6749,6.2783,10.9138
NPPPP,71.9525,67.2463,69.6355,55.6508,45.7311
PNNNN,-45.9264,-47.7857,-38.695,-57.6653,-43.6302
PNNNP,-23.8756,-25.1361,-24.7837,-31.2407,-21.402
PNNPN,-21.404,-23.2393,-14.8856,-16.0094,-32.7813
PNNPP,12.0676,7.1383,11.9325,9.4799,14.1266
PNPNN,-23.8221,-22.174,-15.6622,-22.6366,-22.484
PNPNP,11.5993,0.9371,10.8635,18.3574,13.1829
PNPPN,11.4761,4.8717,11.1124,5.0215,10.3393
PNPPP,61.9557,65.784,59.9777,50.7193,55.6519
PPNNN,-27.3026,-26.8111,-32.7889,-21.6001,-21.3091
PPNNP,10.9776,12.516,2.8741,-5.3158,12.3413
PPNPN,3.293,21.4552,11.3108,7.5308,9.0112
PPNPP,72.7366,68.2977,43.3305,48.8075,71.3199
PPPNN,2.729,4.47,-2.7368,13.4584,10.148
PPPNP,69.0163,48.1161,53.8487,69.401,63.5999
PPPPN,57.7859,38.5754,70.3856,64.2513,52.7403
PPPPP,156.1913,189.0552,189.6177,186.2031,189.9051
