pattern,occurrences,total_change,avg_total_change,avg_internal_change,avg_gap_adjustment,avg_volume,std_dev,consistency,actual_data_total_change
PPPPP,1252,186.2031,0.1487,0.1519,-0.0032,33114,0.4073,0.7106,46.5800
PPPNP,515,69.4010,0.1348,0.1372,-0.0025,63717,0.3122,0.7621,46.5800
PPPPN,521,64.2513,0.1233,0.1083,0.0150,66356,0.4329,0.6979,46.5800
NPPPP,464,55.6508,0.1199,0.1269,-0.0070,65408,0.3087,0.7641,46.5800
PNPPP,484,50.7193,0.1048,0.1067,-0.0019,69500,0.3621,0.7342,46.5800
PPNPP,446,48.8075,0.1094,0.1043,0.0051,60662,0.3653,0.7324,46.5800
PNPNP,273,18.3574,0.0672,0.0637,0.0035,88802,0.2501,0.7999,46.5800
PPPNN,296,13.4584,0.0455,0.0405,0.0050,96864,0.2671,0.7892,46.5800
PNNPP,322,9.4799,0.0294,0.0308,-0.0013,102158,0.4222,0.7031,46.5800
NPPNP,326,9.1958,0.0282,0.0338,-0.0056,94384,0.3332,0.7501,46.5800
NPNPP,290,8.5771,0.0296,0.0272,0.0024,82924,0.2274,0.8148,46.5800
PPNPN,307,7.5308,0.0245,0.0248,-0.0003,84165,0.2502,0.7999,46.5800
NPPPN,298,6.2783,0.0211,0.0004,0.0207,79549,0.2079,0.8279,46.5800
NNPPP,272,6.2690,0.0230,0.0293,-0.0063,89769,0.2025,0.8316,46.5800
PNPPN,279,5.0215,0.0180,0.0164,0.0016,78619,0.2088,0.8273,46.5800
PPNNP,316,-5.3158,-0.0168,-0.0171,0.0003,94560,0.5907,0.6287,46.5800
NPNPN,197,-14.4943,-0.0736,-0.0833,0.0097,98580,0.1799,0.8476,46.5800
PNNPN,208,-16.0094,-0.0770,-0.0826,0.0057,96033,0.1892,0.8409,46.5800
NPPNN,196,-17.5663,-0.0896,-0.1014,0.0118,112393,0.2087,0.8273,46.5800
NNPPN,231,-19.9017,-0.0862,-0.0880,0.0018,125588,0.2526,0.7983,46.5800
NPNNP,212,-19.9826,-0.0943,-0.0937,-0.0006,108845,0.2178,0.8211,46.5800
NNPNP,230,-21.1055,-0.0918,-0.0901,-0.0017,108267,0.2120,0.8251,46.5800
PPNNN,196,-21.6001,-0.1102,-0.1167,0.0065,103247,0.2069,0.8286,46.5800
PNPNN,223,-22.6366,-0.1015,-0.1068,0.0053,108436,0.2691,0.7879,46.5800
NNNPP,248,-24.1820,-0.0975,-0.0984,0.0009,108559,0.2151,0.8229,46.5800
PNNNP,277,-31.2407,-0.1128,-0.1199,0.0071,103771,0.2636,0.7914,46.5800
NNPNN,175,-39.9232,-0.2281,-0.2353,0.0072,101683,0.2360,0.8091,46.5800
NNNNP,168,-40.6335,-0.2419,-0.2494,0.0075,135806,0.2653,0.7903,46.5800
NPNNN,205,-49.3347,-0.2407,-0.2448,0.0042,134577,0.2610,0.7930,46.5800
NNNPN,199,-51.1395,-0.2570,-0.2589,0.0019,124886,0.3571,0.7369,46.5800
PNNNN,217,-57.6653,-0.2657,-0.2679,0.0022,146200,0.2695,0.7877,46.5800
NNNNN,156,-59.8399,-0.3836,-0.3893,0.0057,130151,0.3072,0.7650,46.5800
