offset,bars_processed,chunks_formed,unique_patterns,actual_total_change,pattern_sum,verification_diff
0,50000,10000,32,46.6100,46.6100,0.000000
1,49999,9999,32,46.6800,46.6900,0.010000
2,49998,9999,32,46.7200,46.8600,0.140000
3,49997,9999,32,46.5800,46.6300,0.050000
4,49996,9999,32,46.5700,46.3600,0.210000
