offset,bars_processed,chunks_formed,unique_patterns,actual_total_change,pattern_sum,verification_diff
0,50000,10000,32,14.8200,14.8200,0.000000
1,49999,9999,32,15.0000,14.6700,0.330000
2,49998,9999,32,15.1500,14.8500,0.300000
3,49997,9999,32,15.0550,14.8949,0.160100
4,49996,9999,32,14.8800,14.8700,0.010000
