pattern,occurrences,total_change,avg_total_change,avg_internal_change,avg_gap_adjustment,avg_volume,std_dev,consistency,actual_data_total_change
PPPPP,1393,133.6965,0.0960,0.0990,-0.0030,23533,0.2900,0.7752,14.8200
PNPPP,450,36.2056,0.0805,0.0841,-0.0036,44000,0.1861,0.8431,14.8200
NPPPP,455,35.4182,0.0778,0.0762,0.0016,48671,0.1804,0.8472,14.8200
PPNPP,429,27.5551,0.0642,0.0633,0.0009,41461,0.2070,0.8285,14.8200
PPPPN,463,24.5220,0.0530,0.0423,0.0106,45915,0.2085,0.8274,14.8200
PPPNP,448,21.4295,0.0478,0.0487,-0.0009,44064,0.2280,0.8143,14.8200
NNPPP,308,8.9132,0.0289,0.0288,0.0002,62609,0.1402,0.8770,14.8200
PPNNP,296,7.4748,0.0253,0.0226,0.0027,59297,0.1774,0.8493,14.8200
PNPPN,310,6.7926,0.0219,0.0184,0.0035,64099,0.1337,0.8821,14.8200
PNPNP,295,6.6079,0.0224,0.0130,0.0094,66917,0.1659,0.8577,14.8200
PPNPN,272,6.3621,0.0234,0.0142,0.0092,66591,0.3042,0.7668,14.8200
PPPNN,281,5.4997,0.0196,0.0132,0.0064,64313,0.1282,0.8864,14.8200
PNNPP,279,4.7443,0.0170,0.0209,-0.0039,58580,0.1281,0.8864,14.8200
NPPNP,273,4.7353,0.0173,0.0193,-0.0019,59420,0.1255,0.8885,14.8200
NPNPP,283,4.2203,0.0149,0.0190,-0.0041,60100,0.1352,0.8809,14.8200
NPPPN,292,3.9752,0.0136,0.0114,0.0022,70656,0.1465,0.8722,14.8200
NPPNN,220,-11.7455,-0.0534,-0.0516,-0.0018,72757,0.1096,0.9012,14.8200
NNPNP,226,-12.5689,-0.0556,-0.0564,0.0007,78108,0.1527,0.8676,14.8200
NNPPN,222,-12.8550,-0.0579,-0.0580,0.0001,71982,0.1188,0.8938,14.8200
PNPNN,246,-13.2739,-0.0540,-0.0567,0.0027,70098,0.1301,0.8848,14.8200
NPNPN,245,-13.4612,-0.0549,-0.0554,0.0004,61593,0.1191,0.8936,14.8200
PNNPN,235,-13.5525,-0.0577,-0.0570,-0.0007,58944,0.1239,0.8897,14.8200
NPNNP,238,-13.6593,-0.0574,-0.0604,0.0030,75456,0.1047,0.9052,14.8200
NNNPP,242,-14.5826,-0.0603,-0.0643,0.0040,69768,0.1464,0.8723,14.8200
PPNNN,231,-15.1835,-0.0657,-0.0682,0.0024,68417,0.1289,0.8858,14.8200
PNNNP,221,-15.4522,-0.0699,-0.0730,0.0031,68668,0.1135,0.8981,14.8200
NNPNN,192,-28.8762,-0.1504,-0.1523,0.0019,78017,0.1427,0.8751,14.8200
NPNNN,201,-29.1892,-0.1452,-0.1477,0.0025,73821,0.1224,0.8910,14.8200
PNNNN,197,-29.2960,-0.1487,-0.1482,-0.0005,71528,0.1266,0.8876,14.8200
NNNNP,204,-30.9660,-0.1518,-0.1522,0.0004,78426,0.1684,0.8559,14.8200
NNNPN,209,-33.6606,-0.1611,-0.1597,-0.0014,69722,0.1273,0.8871,14.8200
NNNNN,144,-35.0097,-0.2431,-0.2424,-0.0007,76302,0.1589,0.8629,14.8200
