pattern,occurrences,total_change,avg_total_change,avg_internal_change,avg_gap_adjustment,avg_volume,std_dev,consistency,actual_data_total_change
PPPPP,1366,129.7273,0.0950,0.0937,0.0013,22647,0.2777,0.7826,15.0550
PPPNP,459,40.4465,0.0881,0.0893,-0.0012,45678,0.2141,0.8236,15.0550
PNPPP,461,36.6481,0.0795,0.0765,0.0030,46683,0.2090,0.8271,15.0550
PPNPP,494,34.3813,0.0696,0.0695,0.0001,46619,0.2798,0.7814,15.0550
PPPPN,429,31.4857,0.0734,0.0622,0.0112,46096,0.3357,0.7487,15.0550
NPPPP,445,27.0410,0.0608,0.0621,-0.0014,44288,0.2245,0.8167,15.0550
PNPNP,335,7.7680,0.0232,0.0221,0.0011,68147,0.1432,0.8748,15.0550
NNPPP,312,7.3654,0.0236,0.0223,0.0014,66339,0.1182,0.8943,15.0550
PPNNP,282,6.3122,0.0224,0.0181,0.0043,61582,0.1445,0.8738,15.0550
NPPNP,283,5.2076,0.0184,0.0173,0.0011,61905,0.1464,0.8723,15.0550
NPNPP,276,3.1704,0.0115,0.0135,-0.0020,66950,0.1304,0.8846,15.0550
PNNPP,251,2.8089,0.0112,0.0134,-0.0022,63106,0.1288,0.8859,15.0550
NPPPN,300,2.7951,0.0093,0.0085,0.0008,65629,0.1379,0.8788,15.0550
PPNPN,284,1.7078,0.0060,0.0044,0.0016,59190,0.1509,0.8689,15.0550
PNPPN,290,0.8256,0.0028,-0.0024,0.0053,55009,0.1314,0.8839,15.0550
PPPNN,265,-0.3926,-0.0015,-0.0017,0.0002,55632,0.1242,0.8895,15.0550
NNPPN,209,-8.8607,-0.0424,-0.0468,0.0044,68021,0.1060,0.9041,15.0550
NPPNN,235,-12.4227,-0.0529,-0.0562,0.0034,66107,0.1123,0.8990,15.0550
NNNPP,219,-12.4240,-0.0567,-0.0556,-0.0011,75864,0.1095,0.9013,15.0550
PNPNN,235,-12.4726,-0.0531,-0.0599,0.0068,65493,0.1187,0.8939,15.0550
PNNPN,236,-13.0080,-0.0551,-0.0552,0.0001,65155,0.1016,0.9077,15.0550
NPNPN,249,-13.0097,-0.0522,-0.0518,-0.0004,70456,0.1057,0.9044,15.0550
NPNNP,227,-13.2577,-0.0584,-0.0574,-0.0010,78148,0.1388,0.8781,15.0550
PNNNP,238,-13.6700,-0.0574,-0.0594,0.0020,69952,0.1188,0.8938,15.0550
NNPNP,224,-14.1148,-0.0630,-0.0635,0.0005,65992,0.1386,0.8783,15.0550
PPNNN,259,-21.4474,-0.0828,-0.0824,-0.0004,70036,0.1770,0.8496,15.0550
NPNNN,186,-26.4106,-0.1420,-0.1415,-0.0005,72003,0.1308,0.8843,15.0550
NNNPN,198,-28.8497,-0.1457,-0.1457,-0.0000,84621,0.1297,0.8852,15.0550
NNPNN,197,-29.8446,-0.1515,-0.1526,0.0011,73882,0.1602,0.8619,15.0550
NNNNP,201,-30.1060,-0.1498,-0.1468,-0.0030,81292,0.1402,0.8771,15.0550
PNNNN,202,-33.6575,-0.1666,-0.1700,0.0034,66072,0.1713,0.8538,15.0550
NNNNN,152,-38.8471,-0.2556,-0.2546,-0.0010,73630,0.1724,0.8529,15.0550
