pattern,offset_0,offset_1,offset_2,offset_3,offset_4
NNNNN,-35.0097,-41.0271,-39.6392,-38.8471,-39.3039
NNNNP,-30.966,-24.4225,-27.16,-30.106,-30.9642
NNNPN,-33.6606,-28.6241,-29.1013,-28.8497,-30.8353
NNNPP,-14.5826,-13.6501,-12.7334,-12.424,-13.5374
NNPNN,-28.8762,-33.3164,-28.3348,-29.8446,-27.6336
NNPNP,-12.5689,-13.5356,-13.4162,-14.1148,-13.9644
NNPPN,-12.855,-13.3109,-15.7484,-8.8607,-12.2862
NNPPP,8.9132,6.9455,-0.9696,7.3654,3.3584
NPNNN,-29.1892,-33.2832,-33.8667,-26.4106,-29.2676
NPNNP,-13.6593,-9.5945,-12.0668,-13.2577,-15.7899
NPNPN,-13.4612,-11.5662,-13.557,-13.0097,-14.804
NPNPP,4.2203,7.812,9.4931,3.1704,5.5461
NPPNN,-11.7455,-16.3592,-14.5039,-12.4227,-12.124
NPPNP,4.7353,5.0337,2.068,5.2076,2.5709
NPPPN,3.9752,6.6413,7.1753,2.7951,9.0786
NPPPP,35.4182,32.2808,33.5309,27.041,34.4918
PNNNN,-29.296,-26.0114,-29.8203,-33.6575,-27.6485
PNNNP,-15.4522,-15.5554,-15.2418,-13.67,-18.1669
PNNPN,-13.5525,-11.635,-13.3982,-13.008,-13.3361
PNNPP,4.7443,-0.7636,7.7668,2.8089,8.4284
PNPNN,-13.2739,-12.2301,-13.6914,-12.4726,-15.2282
PNPNP,6.6079,5.8846,5.9735,7.768,5.6174
PNPPN,6.7926,1.4525,3.8142,0.8256,6.8067
PNPPP,36.2056,30.48,32.5633,36.6481,35.8361
PPNNN,-15.1835,-14.5771,-16.6469,-21.4474,-15.295
PPNNP,7.4748,7.43,6.5426,6.3122,4.6478
PPNPN,6.3621,4.8979,4.5769,1.7078,5.3287
PPNPP,27.5551,22.9275,26.676,34.3813,38.2335
PPPNN,5.4997,4.1062,4.6072,-0.3926,4.4203
PPPNP,21.4295,30.8591,34.7921,40.4465,23.4596
PPPPN,24.522,33.5177,36.0523,31.4857,21.9437
PPPPP,133.6965,133.8635,129.1139,129.7273,135.2871
