pattern,occurrences,total_change,avg_total_change,avg_internal_change,avg_gap_adjustment,avg_volume,std_dev,consistency,actual_data_total_change
PPPPP,1359,129.1139,0.0950,0.0975,-0.0025,22488,0.2892,0.7757,15.1500
PPPPN,455,36.0523,0.0792,0.0753,0.0040,44749,0.2059,0.8292,15.1500
PPPNP,469,34.7921,0.0742,0.0794,-0.0052,45292,0.2494,0.8004,15.1500
NPPPP,436,33.5309,0.0769,0.0881,-0.0112,45966,0.2669,0.7893,15.1500
PNPPP,464,32.5633,0.0702,0.0715,-0.0013,49503,0.2238,0.8171,15.1500
PPNPP,457,26.6760,0.0584,0.0560,0.0024,46132,0.2025,0.8316,15.1500
NPNPP,294,9.4931,0.0323,0.0326,-0.0003,56188,0.1503,0.8693,15.1500
PNNPP,282,7.7668,0.0275,0.0268,0.0007,66426,0.1054,0.9047,15.1500
NPPPN,269,7.1753,0.0267,0.0225,0.0041,52169,0.1149,0.8969,15.1500
PPNNP,277,6.5426,0.0236,0.0247,-0.0011,66453,0.1567,0.8645,15.1500
PNPNP,282,5.9735,0.0212,0.0215,-0.0003,67275,0.1392,0.8778,15.1500
PPPNN,322,4.6072,0.0143,0.0089,0.0054,56174,0.1674,0.8566,15.1500
PPNPN,321,4.5769,0.0143,0.0105,0.0038,65680,0.1476,0.8714,15.1500
PNPPN,275,3.8142,0.0139,0.0064,0.0074,60322,0.1487,0.8706,15.1500
NPPNP,309,2.0680,0.0067,0.0076,-0.0009,56775,0.2220,0.8183,15.1500
NNPPP,281,-0.9696,-0.0035,0.0023,-0.0058,61783,0.2198,0.8198,15.1500
NPNNP,210,-12.0668,-0.0575,-0.0573,-0.0001,66657,0.0986,0.9103,15.1500
NNNPP,239,-12.7334,-0.0533,-0.0481,-0.0052,69813,0.1188,0.8938,15.1500
PNNPN,227,-13.3982,-0.0590,-0.0583,-0.0007,70906,0.1385,0.8783,15.1500
NNPNP,243,-13.4162,-0.0552,-0.0565,0.0013,75274,0.1040,0.9058,15.1500
NPNPN,249,-13.5570,-0.0544,-0.0551,0.0007,72891,0.1102,0.9007,15.1500
PNPNN,221,-13.6914,-0.0620,-0.0615,-0.0004,65186,0.1190,0.8936,15.1500
NPPNN,219,-14.5039,-0.0662,-0.0668,0.0005,75386,0.1392,0.8778,15.1500
PNNNP,233,-15.2418,-0.0654,-0.0652,-0.0002,80397,0.1134,0.8982,15.1500
NNPPN,243,-15.7484,-0.0648,-0.0697,0.0049,68328,0.1405,0.8768,15.1500
PPNNN,232,-16.6469,-0.0718,-0.0687,-0.0031,67766,0.1245,0.8892,15.1500
NNNNP,184,-27.1600,-0.1476,-0.1468,-0.0008,84684,0.1335,0.8822,15.1500
NNPNN,192,-28.3348,-0.1476,-0.1467,-0.0009,76092,0.1336,0.8821,15.1500
NNNPN,194,-29.1013,-0.1500,-0.1506,0.0006,66343,0.1296,0.8853,15.1500
PNNNN,197,-29.8203,-0.1514,-0.1519,0.0005,78843,0.1418,0.8758,15.1500
NPNNN,208,-33.8667,-0.1628,-0.1636,0.0008,63665,0.1428,0.8750,15.1500
NNNNN,156,-39.6392,-0.2541,-0.2558,0.0017,81988,0.1735,0.8521,15.1500
