pattern,mean_change,total_occurrences,min_change,max_change,change_std
PPPPP,132.33766,6856,129.1139,135.2871,2.742281806817085
PPPNP,30.197360000000003,2286,21.4295,40.4465,7.887762436711694
PPNPP,29.954679999999996,2273,22.9275,38.2335,6.205296340385366
NPPPP,32.55254,2267,27.041,35.4182,3.2932066694940354
PPPPN,29.50428,2267,21.9437,36.0523,6.018629727105665
PNPPP,34.346619999999994,2253,30.48,36.6481,2.6973203345172037
PNPNP,6.37028,1500,5.6174,7.768,0.8617180786080794
PNPPN,3.93832,1479,0.8256,6.8067,2.8398173703602843
NNPPP,5.12258,1475,-0.9696,8.9132,3.96702240628913
NPPPN,5.9331000000000005,1461,2.7951,9.0786,2.5307703738190077
NPNPP,6.04838,1459,3.1704,9.4931,2.591012444393118
PPNPN,4.57468,1447,1.7078,6.3621,1.738310490677658
PPPNN,3.64816,1442,-0.3926,5.4997,2.3174177597058327
NPPNP,3.9230999999999994,1434,2.068,5.2076,1.484324955998517
PPNNP,6.48148,1422,4.6478,7.4748,1.1490374806767618
PNNPP,4.59696,1390,-0.7636,8.4284,3.7643820625701636
NPNPN,-13.27962,1217,-14.804,-11.5662,1.1664379803487197
PNNNP,-15.617259999999998,1191,-18.1669,-13.67,1.617446081945237
NNNPP,-13.385499999999999,1176,-14.5826,-12.424,0.8479168355446187
NNPNP,-13.51998,1176,-14.1148,-12.5689,0.6055756368943522
PNPNN,-13.37924,1164,-15.2282,-12.2301,1.1905578830951478
PNNPN,-12.98596,1163,-13.5525,-11.635,0.780878686480813
PPNNN,-16.62998,1156,-21.4474,-14.5771,2.7971688377715056
NPPNN,-13.431059999999999,1136,-16.3592,-11.7455,1.9552044504347879
NPNNP,-12.87364,1131,-15.7899,-9.5945,2.2733832734495074
NNPPN,-12.61224,1091,-15.7484,-8.8607,2.478049243457442
NPNNN,-30.403460000000003,1009,-33.8667,-26.4106,3.122277615459587
NNNPN,-30.214199999999998,989,-33.6606,-28.6241,2.114962342454354
NNPNN,-29.60112,976,-33.3164,-27.6336,2.2283849694341415
NNNNP,-28.723740000000003,974,-30.966,-24.4225,2.868099630068664
PNNNN,-29.286739999999998,974,-33.6575,-26.0114,2.8635640996841683
NNNNN,-38.7654,762,-41.0271,-35.0097,2.2517078496110443
