pattern,count,frequency_%,total_change,avg_change,std_dev,min_change,max_change,win_rate,return_risk_ratio,avg_volume
PPP,5261,10.96,2218.0399,0.4216,0.5380,0.0107,13.3600,100.00%,0.7836,272007
OPP,460,0.96,79.6793,0.1732,0.1645,0.0200,1.1500,100.00%,1.0533,116670
POP,452,0.94,74.5572,0.1649,0.1685,0.0100,2.1200,100.00%,0.9791,117379
PPO,492,1.02,78.0242,0.1586,0.1487,0.0108,1.6000,100.00%,1.0664,96929
PPN,5294,11.02,739.7617,0.1397,0.5068,-18.4001,19.7400,77.37%,0.2757,274324
NPP,5330,11.10,728.8178,0.1367,0.3493,-4.5700,12.8200,77.20%,0.3915,259327
PNP,5532,11.52,723.5404,0.1308,0.2929,-4.0300,5.3700,77.68%,0.4466,230219
POO,111,0.23,5.8445,0.0527,0.0707,0.0012,0.4500,100.00%,0.7447,19617
OPO,76,0.16,3.7900,0.0499,0.0540,0.0100,0.3600,100.00%,0.9233,44749
OOP,88,0.18,4.3655,0.0496,0.0428,0.0037,0.2100,100.00%,1.1598,29829
NOP,450,0.94,4.8286,0.0107,0.1572,-0.5792,1.8500,46.67%,0.0683,85764
PNO,466,0.97,3.7038,0.0079,0.1095,-0.3900,0.8800,45.71%,0.0726,106787
OOO,41,0.09,-0.0003,-0.0000,0.0000,-0.0001,0.0000,0.00%,-0.2810,11294
NPO,502,1.05,-2.1089,-0.0042,0.0926,-0.7200,0.3800,45.02%,-0.0454,95040
PON,490,1.02,-2.2692,-0.0046,0.1302,-1.4000,0.4200,47.14%,-0.0356,105361
ONP,440,0.92,-2.2978,-0.0052,0.1425,-1.9300,0.5900,42.27%,-0.0366,123926
OPN,472,0.98,-3.4043,-0.0072,0.2033,-3.0700,0.7600,41.95%,-0.0355,123522
ONO,77,0.16,-3.3603,-0.0436,0.0485,-0.2800,-0.0099,0.00%,-0.9006,59096
NOO,98,0.20,-4.5447,-0.0464,0.0501,-0.3300,-0.0007,0.00%,-0.9250,51926
OON,86,0.18,-5.3462,-0.0622,0.0616,-0.3900,-0.0006,0.00%,-1.0084,52751
NNP,5126,10.67,-718.8294,-0.1402,0.3141,-6.3500,3.1000,20.17%,-0.4465,270721
PNN,5147,10.72,-723.3153,-0.1405,0.3510,-8.1900,3.3100,21.26%,-0.4004,251256
NPN,5393,11.23,-760.7867,-0.1411,0.3100,-6.9500,3.5205,21.12%,-0.4550,241998
NNO,403,0.84,-66.9329,-0.1661,0.2082,-3.2200,-0.0100,0.00%,-0.7978,96164
ONN,456,0.95,-81.9974,-0.1798,0.2030,-2.0400,-0.0100,0.00%,-0.8860,148235
NON,407,0.85,-74.5680,-0.1832,0.1744,-1.3000,-0.0199,0.00%,-1.0506,126022
NNN,4873,10.15,-2151.4216,-0.4415,0.5404,-13.4800,-0.0250,0.00%,-0.8169,277285
