pattern,count,frequency_%,total_change,avg_change,std_dev,min_change,max_change,win_rate,return_risk_ratio,avg_volume
PPP,821,10.64,239.3671,0.2916,0.2729,0.0200,3.9100,100.00%,1.0682,302382
OPP,87,1.13,10.6807,0.1228,0.1105,0.0200,0.6700,100.00%,1.1108,113763
POP,98,1.27,11.3280,0.1156,0.0923,0.0103,0.4600,100.00%,1.2521,74694
PPO,91,1.18,10.2971,0.1132,0.0808,0.0200,0.3900,100.00%,1.4001,80400
PPN,879,11.39,89.0346,0.1013,0.2526,-1.9300,3.8200,77.59%,0.4010,284013
NPP,811,10.51,77.9351,0.0961,0.2214,-0.4500,4.3300,76.82%,0.4341,275098
PNP,853,11.05,73.3699,0.0860,0.2116,-4.0300,1.5000,77.49%,0.4064,247816
OPO,17,0.22,0.7500,0.0441,0.0340,0.0100,0.1300,100.00%,1.2989,38546
OOP,24,0.31,0.9050,0.0377,0.0301,0.0100,0.1200,100.00%,1.2528,31328
NOP,89,1.15,2.7680,0.0311,0.1434,-0.1000,1.1800,52.81%,0.2169,99380
POO,18,0.23,0.5501,0.0306,0.0268,0.0100,0.1300,100.00%,1.1418,35879
OPN,82,1.06,1.6367,0.0200,0.1212,-0.2800,0.7600,42.68%,0.1647,152086
PNO,77,1.00,0.5776,0.0075,0.0602,-0.1800,0.1500,51.95%,0.1246,194910
ONP,85,1.10,0.4126,0.0049,0.0761,-0.2200,0.3100,45.88%,0.0638,151730
OOO,8,0.10,-0.0001,-0.0000,0.0000,-0.0001,0.0000,0.00%,-0.3780,33984
NPO,82,1.06,-0.9347,-0.0114,0.1011,-0.7200,0.2350,42.68%,-0.1127,157859
PON,97,1.26,-2.3414,-0.0241,0.1056,-0.6500,0.1850,36.08%,-0.2285,81145
NOO,22,0.29,-0.9922,-0.0451,0.0360,-0.1300,-0.0007,0.00%,-1.2545,117943
ONO,14,0.18,-0.6400,-0.0457,0.0502,-0.1800,-0.0100,0.00%,-0.9098,35936
OON,16,0.21,-0.8149,-0.0509,0.0441,-0.1500,-0.0010,0.00%,-1.1538,46804
PNN,802,10.39,-72.8930,-0.0909,0.1686,-1.4400,1.1900,19.95%,-0.5390,259447
NNP,800,10.37,-73.3455,-0.0917,0.1665,-1.3300,0.4400,21.25%,-0.5508,246409
NPN,850,11.02,-93.1809,-0.1096,0.2043,-2.9700,0.6200,18.35%,-0.5366,270437
NNO,64,0.83,-7.9047,-0.1235,0.1106,-0.5600,-0.0100,0.00%,-1.1163,112102
ONN,94,1.22,-12.0925,-0.1286,0.1865,-1.6200,-0.0100,0.00%,-0.6900,106876
NON,77,1.00,-10.7823,-0.1400,0.1203,-0.7000,-0.0200,0.00%,-1.1644,127103
NNN,758,9.82,-218.1703,-0.2878,0.2573,-3.4500,-0.0300,0.00%,-1.1187,261018
