basket_id,pattern_type,start_time,end_time,duration_minutes,start_price,end_price,price_change,volume,trades,basket_high,basket_low,basket_range
0,PNN,2025-08-01 03:02:00,2025-08-01 03:04:00,2.00,627.2800,627.3100,0.0300,3550.0,156,627.4600,627.2800,0.1800
1,NPP,2025-08-01 03:05:00,2025-08-01 03:07:00,2.00,627.3100,627.5000,0.1900,20334.0,274,627.4500,627.1700,0.2800
2,NNN,2025-08-01 03:08:00,2025-08-01 03:10:00,2.00,627.5000,627.1500,-0.3500,75810.0,725,627.5000,627.2100,0.2900
3,PPP,2025-08-01 03:11:00,2025-08-01 03:13:00,2.00,627.1500,627.4600,0.3100,25998.0,388,627.3900,627.0100,0.3800
4,NPP,2025-08-01 03:14:00,2025-08-01 03:16:00,2.00,627.4600,627.5400,0.0800,15618.0,278,627.5400,627.2700,0.2700
5,PPN,2025-08-01 03:17:00,2025-08-01 03:19:00,2.00,627.5400,627.5100,-0.0300,16869.0,256,627.7800,627.5300,0.2500
6,NNP,2025-08-01 03:20:00,2025-08-01 03:22:00,2.00,627.5100,627.2400,-0.2700,7862.0,146,627.5100,627.1500,0.3600
7,NPN,2025-08-01 03:23:00,2025-08-01 03:25:00,2.00,627.2400,626.9100,-0.3300,8271.0,142,627.3400,626.9800,0.3600
8,NNN,2025-08-01 03:26:00,2025-08-01 03:28:00,2.00,626.9100,626.3700,-0.5400,17062.0,348,626.9200,626.3900,0.5300
9,NPN,2025-08-01 03:29:00,2025-08-01 03:31:00,2.00,626.3700,626.4600,0.0900,8447.0,277,626.5000,626.0600,0.4400
10,NNP,2025-08-01 03:32:00,2025-08-01 03:34:00,2.00,626.4600,626.2900,-0.1700,21870.0,261,626.5300,626.0000,0.5300
11,NPN,2025-08-01 03:35:00,2025-08-01 03:37:00,2.00,626.2900,625.8900,-0.4000,13432.0,299,626.3200,625.7900,0.5300
12,NNP,2025-08-01 03:38:00,2025-08-01 03:40:00,2.00,625.8900,625.8700,-0.0200,5869.0,155,625.9600,625.6900,0.2700
13,PNP,2025-08-01 03:41:00,2025-08-01 03:43:00,2.00,625.8700,626.0600,0.1900,7665.0,177,626.2700,625.8700,0.4000
14,PPN,2025-08-01 03:44:00,2025-08-01 03:46:00,2.00,626.0600,626.3400,0.2800,6792.0,176,626.3700,626.0600,0.3100
15,PPP,2025-08-01 03:47:00,2025-08-01 03:50:00,3.00,626.3400,626.7500,0.4100,10160.0,185,626.7800,626.3400,0.4400
16,NNP,2025-08-01 03:51:00,2025-08-01 03:53:00,2.00,626.7500,626.6200,-0.1300,3016.0,65,626.7500,626.4300,0.3200
17,PPP,2025-08-01 03:54:00,2025-08-01 03:56:00,2.00,626.6200,626.8600,0.2400,2700.0,87,626.8700,626.5800,0.2900
18,NNP,2025-08-01 03:57:00,2025-08-01 03:59:00,2.00,626.8600,626.6700,-0.1900,21352.0,259,626.8600,626.5700,0.2900
19,PPP,2025-08-01 04:00:00,2025-08-01 04:02:00,2.00,626.6700,626.8000,0.1300,8551.0,131,626.8600,626.6600,0.2000
20,PNP,2025-08-01 04:03:00,2025-08-01 04:06:00,3.00,626.8000,627.0900,0.2900,4331.0,117,627.0200,626.7500,0.2700
21,NNP,2025-08-01 04:07:00,2025-08-01 04:09:00,2.00,627.0900,626.8700,-0.2200,9030.0,147,627.1000,626.8000,0.3000
22,NNP,2025-08-01 04:11:00,2025-08-01 04:15:00,4.00,626.8700,626.7200,-0.1500,4308.0,130,626.8700,626.5700,0.3000
23,PPN,2025-08-01 04:16:00,2025-08-01 04:19:00,3.00,626.7200,626.4400,-0.2800,18561.0,140,626.8200,626.6000,0.2200
24,NPN,2025-08-01 04:20:00,2025-08-01 04:22:00,2.00,626.4400,626.2900,-0.1500,6711.0,125,626.5000,626.3100,0.1900
25,PPN,2025-08-01 04:23:00,2025-08-01 04:25:00,2.00,626.2900,626.3300,0.0400,2414.0,58,626.4000,626.2900,0.1100
26,NPN,2025-08-01 04:26:00,2025-08-01 04:28:00,2.00,626.3300,626.1300,-0.2000,4505.0,92,626.3300,626.2800,0.0500
27,PPN,2025-08-01 04:30:00,2025-08-01 04:32:00,2.00,626.1300,626.3000,0.1700,2974.0,103,626.4200,626.1300,0.2900
28,NPP,2025-08-01 04:33:00,2025-08-01 04:35:00,2.00,626.3000,626.3100,0.0100,2523.0,70,626.3000,626.1200,0.1800
29,PPN,2025-08-01 04:36:00,2025-08-01 04:40:00,4.00,626.3100,626.6200,0.3100,4281.0,127,626.7100,626.2500,0.4600
30,NNP,2025-08-01 04:42:00,2025-08-01 04:44:00,2.00,626.6200,626.6900,0.0700,4714.0,109,626.6200,626.5200,0.1000
31,PNP,2025-08-01 04:46:00,2025-08-01 04:50:00,4.00,626.6900,626.8200,0.1300,1569.0,71,626.8400,626.6800,0.1600
32,NNP,2025-08-01 04:53:00,2025-08-01 04:55:00,2.00,626.8200,626.6800,-0.1400,2801.0,75,626.8200,626.6500,0.1700
33,NNN,2025-08-01 04:59:00,2025-08-01 05:01:00,2.00,626.6800,626.2300,-0.4500,2746.0,91,626.6800,626.3700,0.3100
34,PPN,2025-08-01 05:02:00,2025-08-01 05:04:00,2.00,626.2300,626.2200,-0.0100,6178.0,147,626.4600,626.2300,0.2300
35,PNP,2025-08-01 05:06:00,2025-08-01 05:08:00,2.00,626.2200,626.2600,0.0400,7684.0,168,626.2500,626.0000,0.2500
36,PPN,2025-08-01 05:09:00,2025-08-01 05:12:00,3.00,626.2600,626.4600,0.2000,3608.0,78,626.5100,626.2600,0.2500
37,PNP,2025-08-01 05:15:00,2025-08-01 05:20:00,5.00,626.4600,626.5300,0.0700,3398.0,79,626.5700,626.1700,0.4000
38,NNP,2025-08-01 05:21:00,2025-08-01 05:24:00,3.00,626.5300,626.2200,-0.3100,3110.0,99,626.5300,626.0700,0.4600
39,NNP,2025-08-01 05:25:00,2025-08-01 05:27:00,2.00,626.2200,626.3000,0.0800,4477.0,110,626.2200,626.0700,0.1500
40,PNP,2025-08-01 05:28:00,2025-08-01 05:30:00,2.00,626.3000,626.4000,0.1000,3031.0,95,626.5100,626.2700,0.2400
41,NPN,2025-08-01 05:31:00,2025-08-01 05:33:00,2.00,626.4000,626.3100,-0.0900,9782.0,105,626.4200,626.2400,0.1800
42,NPN,2025-08-01 05:34:00,2025-08-01 05:36:00,2.00,626.3100,626.1900,-0.1200,4142.0,76,626.3400,626.2100,0.1300
43,NNP,2025-08-01 05:37:00,2025-08-01 05:39:00,2.00,626.1900,626.2000,0.0100,20826.0,239,626.2600,626.0500,0.2100
44,NNP,2025-08-01 05:40:00,2025-08-01 05:42:00,2.00,626.2000,625.8800,-0.3200,61121.0,489,626.2400,625.7200,0.5200
45,NNP,2025-08-01 05:43:00,2025-08-01 05:45:00,2.00,625.8800,625.8600,-0.0200,123408.0,682,625.9200,625.6000,0.3200
46,NPN,2025-08-01 05:46:00,2025-08-01 05:48:00,2.00,625.8600,625.6600,-0.2000,43958.0,351,625.9700,625.7000,0.2700
47,NNN,2025-08-01 05:49:00,2025-08-01 05:51:00,2.00,625.6600,625.1500,-0.5100,19336.0,324,625.7000,625.1300,0.5700
48,PNN,2025-08-01 05:52:00,2025-08-01 05:54:00,2.00,625.1500,624.8900,-0.2600,19857.0,411,625.3600,624.9100,0.4500
49,PPP,2025-08-01 05:55:00,2025-08-01 05:57:00,2.00,624.8900,625.3400,0.4500,17877.0,257,625.2800,624.8300,0.4500
50,NPP,2025-08-01 05:58:00,2025-08-01 06:00:00,2.00,625.3400,625.4000,0.0600,17360.0,428,625.4900,625.1700,0.3200
51,PNN,2025-08-01 06:01:00,2025-08-01 06:03:00,2.00,625.4000,625.3100,-0.0900,19871.0,426,625.5800,625.3100,0.2700
52,PPP,2025-08-01 06:04:00,2025-08-01 06:06:00,2.00,625.3100,625.6300,0.3200,20129.0,288,625.6600,625.2000,0.4600
53,PPP,2025-08-01 06:07:00,2025-08-01 06:09:00,2.00,625.6300,625.8900,0.2600,27812.0,395,625.8800,625.6300,0.2500
54,PPP,2025-08-01 06:10:00,2025-08-01 06:12:00,2.00,625.8900,626.1500,0.2600,26637.0,456,626.1500,625.8900,0.2600
55,PPP,2025-08-01 06:13:00,2025-08-01 06:15:00,2.00,626.1500,626.3100,0.1600,26754.0,377,626.4000,626.1200,0.2800
56,PNN,2025-08-01 06:16:00,2025-08-01 06:18:00,2.00,626.3100,626.2650,-0.0450,7632.0,189,626.4900,626.2650,0.2250
57,NNP,2025-08-01 06:19:00,2025-08-01 06:21:00,2.00,626.2650,626.3300,0.0650,31237.0,469,626.4400,626.1800,0.2600
58,PPN,2025-08-01 06:22:00,2025-08-01 06:24:00,2.00,626.3300,626.3700,0.0400,22205.0,356,626.5200,626.2400,0.2800
59,PNN,2025-08-01 06:25:00,2025-08-01 06:27:00,2.00,626.3700,626.3500,-0.0200,9364.0,200,626.5000,626.3600,0.1400
60,NPN,2025-08-01 06:28:00,2025-08-01 06:31:00,3.00,626.3500,626.3600,0.0100,6721.0,175,626.5300,626.2600,0.2700
61,PNP,2025-08-01 06:32:00,2025-08-01 06:34:00,2.00,626.3600,626.4000,0.0400,6353.0,165,626.5400,626.2800,0.2600
