basket_id,pattern_type,start_time,end_time,duration_minutes,start_price,end_price,price_change,volume,trades,basket_high,basket_low,basket_range
0,NPN,2025-08-01 03:01:00,2025-08-01 03:03:00,2.00,627.3100,627.3800,0.0700,10510.0,212,627.5400,627.2800,0.2600
1,NNP,2025-08-01 03:04:00,2025-08-01 03:06:00,2.00,627.3800,627.4500,0.0700,21369.0,284,627.4500,627.1700,0.2800
2,PNN,2025-08-01 03:07:00,2025-08-01 03:09:00,2.00,627.4500,627.3700,-0.0800,56676.0,596,627.5000,627.3200,0.1800
3,NPP,2025-08-01 03:10:00,2025-08-01 03:12:00,2.00,627.3700,627.3400,-0.0300,45343.0,507,627.3900,627.0100,0.3800
4,PNP,2025-08-01 03:13:00,2025-08-01 03:15:00,2.00,627.3400,627.4600,0.1200,4816.0,146,627.4700,627.2700,0.2000
5,PPP,2025-08-01 03:16:00,2025-08-01 03:18:00,2.00,627.4600,627.7100,0.2500,22696.0,362,627.7800,627.3900,0.3900
6,NNN,2025-08-01 03:19:00,2025-08-01 03:21:00,2.00,627.7100,627.1600,-0.5500,11760.0,171,627.7200,627.1700,0.5500
7,PNP,2025-08-01 03:22:00,2025-08-01 03:24:00,2.00,627.1600,627.3400,0.1800,3954.0,100,627.3000,627.1500,0.1500
8,NNN,2025-08-01 03:25:00,2025-08-01 03:27:00,2.00,627.3400,626.3900,-0.9500,22377.0,381,627.3400,626.4300,0.9100
9,NNP,2025-08-01 03:28:00,2025-08-01 03:30:00,2.00,626.3900,626.4900,0.1000,8448.0,287,626.5000,626.0600,0.4400
10,NNN,2025-08-01 03:31:00,2025-08-01 03:33:00,2.00,626.4900,626.0800,-0.4100,4998.0,137,626.5300,626.1500,0.3800
11,PNP,2025-08-01 03:34:00,2025-08-01 03:36:00,2.00,626.0800,626.1000,0.0200,29284.0,402,626.3200,625.7900,0.5300
12,NNN,2025-08-01 03:37:00,2025-08-01 03:39:00,2.00,626.1000,625.6900,-0.4100,6935.0,181,626.1200,625.7600,0.3600
13,PPN,2025-08-01 03:40:00,2025-08-01 03:42:00,2.00,625.6900,625.9800,0.2900,7258.0,170,626.2700,625.6900,0.5800
14,PPP,2025-08-01 03:43:00,2025-08-01 03:45:00,2.00,625.9800,626.3600,0.3800,4577.0,141,626.2600,625.9300,0.3300
15,NPP,2025-08-01 03:46:00,2025-08-01 03:49:00,3.00,626.3600,626.6300,0.2700,7068.0,164,626.5800,626.3100,0.2700
16,PNN,2025-08-01 03:50:00,2025-08-01 03:52:00,2.00,626.6300,626.5700,-0.0600,9183.0,155,626.7800,626.4300,0.3500
17,PPP,2025-08-01 03:53:00,2025-08-01 03:55:00,2.00,626.5700,626.7800,0.2100,2443.0,75,626.7500,626.5700,0.1800
18,PNN,2025-08-01 03:56:00,2025-08-01 03:58:00,2.00,626.7800,626.6600,-0.1200,3695.0,102,626.8700,626.6300,0.2400
19,PPP,2025-08-01 03:59:00,2025-08-01 04:01:00,2.00,626.6600,626.7800,0.1200,22978.0,257,626.8600,626.5700,0.2900
20,PPN,2025-08-01 04:02:00,2025-08-01 04:04:00,2.00,626.7800,626.7800,0.0000,8043.0,158,627.0200,626.7500,0.2700
21,PNN,2025-08-01 04:06:00,2025-08-01 04:08:00,2.00,626.7800,626.8000,0.0200,8650.0,135,627.1000,626.7800,0.3200
22,PNN,2025-08-01 04:09:00,2025-08-01 04:14:00,5.00,626.8000,626.6600,-0.1400,3901.0,115,626.8700,626.6500,0.2200
