pattern,timestamp,minute_1_time,minute_2_time,minute_3_time,first_open,last_next_open,total_change,change_1,change_2,change_3,volume
PNN,2025-08-01 03:02:00,03:02:00,03:03:00,03:04:00,627.2800,627.3100,0.0300,0.1800,-0.0800,-0.0700,3550.0
NPP,2025-08-01 03:05:00,03:05:00,03:06:00,03:07:00,627.3100,627.5000,0.1900,-0.0100,0.1500,0.0500,20334.0
NNN,2025-08-01 03:08:00,03:08:00,03:09:00,03:10:00,627.5000,627.1500,-0.3500,-0.0900,-0.0400,-0.2200,75810.0
PPP,2025-08-01 03:11:00,03:11:00,03:12:00,03:13:00,627.1500,627.4600,0.3100,0.0200,0.1700,0.1200,25998.0
NPP,2025-08-01 03:14:00,03:14:00,03:15:00,03:16:00,627.4600,627.5400,0.0800,-0.0300,0.0300,0.0800,15618.0
PPN,2025-08-01 03:17:00,03:17:00,03:18:00,03:19:00,627.5400,627.5100,-0.0300,0.1200,0.0500,-0.2000,16869.0
NNP,2025-08-01 03:20:00,03:20:00,03:21:00,03:22:00,627.5100,627.2400,-0.2700,-0.1300,-0.2200,0.0800,7862.0
NPN,2025-08-01 03:23:00,03:23:00,03:24:00,03:25:00,627.2400,626.9100,-0.3300,-0.0600,0.1600,-0.4300,8271.0
NNN,2025-08-01 03:26:00,03:26:00,03:27:00,03:28:00,626.9100,626.3700,-0.5400,-0.2600,-0.2600,-0.0200,17062.0
NPN,2025-08-01 03:29:00,03:29:00,03:30:00,03:31:00,626.3700,626.4600,0.0900,-0.1200,0.2400,-0.0300,8447.0
NNP,2025-08-01 03:32:00,03:32:00,03:33:00,03:34:00,626.4600,626.2900,-0.1700,-0.2500,-0.1300,0.2100,21870.0
NPN,2025-08-01 03:35:00,03:35:00,03:36:00,03:37:00,626.2900,625.8900,-0.4000,-0.4500,0.2600,-0.2100,13432.0
NNP,2025-08-01 03:38:00,03:38:00,03:39:00,03:40:00,625.8900,625.8700,-0.0200,-0.1000,-0.1000,0.1800,5869.0
PNP,2025-08-01 03:41:00,03:41:00,03:42:00,03:43:00,625.8700,626.0600,0.1900,0.3300,-0.2200,0.0800,7665.0
PPN,2025-08-01 03:44:00,03:44:00,03:45:00,03:46:00,626.0600,626.3400,0.2800,0.2000,0.1000,-0.0200,6792.0
PPP,2025-08-01 03:47:00,03:47:00,03:49:00,03:50:00,626.3400,626.7500,0.4100,0.1700,0.1200,0.1200,10160.0
NNP,2025-08-01 03:51:00,03:51:00,03:52:00,03:53:00,626.7500,626.6200,-0.1300,-0.1700,-0.0100,0.0500,3016.0
PPP,2025-08-01 03:54:00,03:54:00,03:55:00,03:56:00,626.6200,626.8600,0.2400,0.0600,0.1000,0.0800,2700.0
NNP,2025-08-01 03:57:00,03:57:00,03:58:00,03:59:00,626.8600,626.6700,-0.1900,-0.1400,-0.0600,0.0100,21352.0
PPP,2025-08-01 04:00:00,04:00:00,04:01:00,04:02:00,626.6700,626.8000,0.1300,0.0800,0.0300,0.0200,8551.0
PNP,2025-08-01 04:03:00,04:03:00,04:04:00,04:06:00,626.8000,627.0900,0.2900,0.0800,-0.1000,0.3100,4331.0
NNP,2025-08-01 04:07:00,04:07:00,04:08:00,04:09:00,627.0900,626.8700,-0.2200,-0.2300,-0.0600,0.0700,9030.0
NNP,2025-08-01 04:11:00,04:11:00,04:14:00,04:15:00,626.8700,626.7200,-0.1500,-0.2000,-0.0100,0.0600,4308.0
PPN,2025-08-01 04:16:00,04:16:00,04:18:00,04:19:00,626.7200,626.4400,-0.2800,0.0800,0.0200,-0.3800,18561.0
NPN,2025-08-01 04:20:00,04:20:00,04:21:00,04:22:00,626.4400,626.2900,-0.1500,-0.0800,0.0200,-0.0900,6711.0
PPN,2025-08-01 04:23:00,04:23:00,04:24:00,04:25:00,626.2900,626.3300,0.0400,0.0500,0.0500,-0.0600,2414.0
NPN,2025-08-01 04:26:00,04:26:00,04:27:00,04:28:00,626.3300,626.1300,-0.2000,-0.0500,0.0300,-0.1800,4505.0
PPN,2025-08-01 04:30:00,04:30:00,04:31:00,04:32:00,626.1300,626.3000,0.1700,0.0700,0.2200,-0.1200,2974.0
NPP,2025-08-01 04:33:00,04:33:00,04:34:00,04:35:00,626.3000,626.3100,0.0100,-0.1800,0.1700,0.0200,2523.0
PPN,2025-08-01 04:36:00,04:36:00,04:38:00,04:40:00,626.3100,626.6200,0.3100,0.1000,0.2200,-0.0100,4281.0
NNP,2025-08-01 04:42:00,04:42:00,04:43:00,04:44:00,626.6200,626.6900,0.0700,-0.0500,-0.0200,0.1400,4714.0
PNP,2025-08-01 04:46:00,04:46:00,04:47:00,04:50:00,626.6900,626.8200,0.1300,0.1500,-0.0700,0.0500,1569.0
NNP,2025-08-01 04:53:00,04:53:00,04:54:00,04:55:00,626.8200,626.6800,-0.1400,-0.0500,-0.1000,0.0100,2801.0
NNN,2025-08-01 04:59:00,04:59:00,05:00:00,05:01:00,626.6800,626.2300,-0.4500,-0.0100,-0.1200,-0.3200,2746.0
PPN,2025-08-01 05:02:00,05:02:00,05:03:00,05:04:00,626.2300,626.2200,-0.0100,0.1200,0.0900,-0.2200,6178.0
PNP,2025-08-01 05:06:00,05:06:00,05:07:00,05:08:00,626.2200,626.2600,0.0400,0.0300,-0.1900,0.2000,7684.0
PPN,2025-08-01 05:09:00,05:09:00,05:11:00,05:12:00,626.2600,626.4600,0.2000,0.1100,0.1000,-0.0100,3608.0
PNP,2025-08-01 05:15:00,05:15:00,05:18:00,05:20:00,626.4600,626.5300,0.0700,0.0800,-0.0600,0.0500,3398.0
NNP,2025-08-01 05:21:00,05:21:00,05:23:00,05:24:00,626.5300,626.2200,-0.3100,-0.4100,-0.0500,0.1500,3110.0
NNP,2025-08-01 05:25:00,05:25:00,05:26:00,05:27:00,626.2200,626.3000,0.0800,-0.0800,-0.0600,0.2200,4477.0
PNP,2025-08-01 05:28:00,05:28:00,05:29:00,05:30:00,626.3000,626.4000,0.1000,0.2000,-0.1500,0.0500,3031.0
NPN,2025-08-01 05:31:00,05:31:00,05:32:00,05:33:00,626.4000,626.3100,-0.0900,-0.1100,0.1000,-0.0800,9782.0
NPN,2025-08-01 05:34:00,05:34:00,05:35:00,05:36:00,626.3100,626.1900,-0.1200,-0.0900,0.0300,-0.0600,4142.0
NNP,2025-08-01 05:37:00,05:37:00,05:38:00,05:39:00,626.1900,626.2000,0.0100,-0.0100,-0.0700,0.0900,20826.0
NNP,2025-08-01 05:40:00,05:40:00,05:41:00,05:42:00,626.2000,625.8800,-0.3200,-0.0500,-0.3900,0.1200,61121.0
NNP,2025-08-01 05:43:00,05:43:00,05:44:00,05:45:00,625.8800,625.8600,-0.0200,-0.1100,-0.0600,0.1500,123408.0
NPN,2025-08-01 05:46:00,05:46:00,05:47:00,05:48:00,625.8600,625.6600,-0.2000,-0.1400,0.0400,-0.1000,43958.0
NNN,2025-08-01 05:49:00,05:49:00,05:50:00,05:51:00,625.6600,625.1500,-0.5100,-0.1600,-0.1300,-0.2200,19336.0
PNN,2025-08-01 05:52:00,05:52:00,05:53:00,05:54:00,625.1500,624.8900,-0.2600,0.1600,-0.0700,-0.3500,19857.0
PPP,2025-08-01 05:55:00,05:55:00,05:56:00,05:57:00,624.8900,625.3400,0.4500,0.2400,0.0300,0.1800,17877.0
NPP,2025-08-01 05:58:00,05:58:00,05:59:00,06:00:00,625.3400,625.4000,0.0600,-0.0200,0.0400,0.0400,17360.0
PNN,2025-08-01 06:01:00,06:01:00,06:02:00,06:03:00,625.4000,625.3100,-0.0900,0.1800,-0.1600,-0.1100,19871.0
PPP,2025-08-01 06:04:00,06:04:00,06:05:00,06:06:00,625.3100,625.6300,0.3200,0.2300,0.0400,0.0500,20129.0
PPP,2025-08-01 06:07:00,06:07:00,06:08:00,06:09:00,625.6300,625.8900,0.2600,0.0700,0.0200,0.1700,27812.0
PPP,2025-08-01 06:10:00,06:10:00,06:11:00,06:12:00,625.8900,626.1500,0.2600,0.2000,0.0100,0.0500,26637.0
PPP,2025-08-01 06:13:00,06:13:00,06:14:00,06:15:00,626.1500,626.3100,0.1600,0.0900,0.0400,0.0300,26754.0
PNN,2025-08-01 06:16:00,06:16:00,06:17:00,06:18:00,626.3100,626.2650,-0.0450,0.1200,-0.0100,-0.1550,7632.0
NNP,2025-08-01 06:19:00,06:19:00,06:20:00,06:21:00,626.2650,626.3300,0.0650,-0.0450,-0.0400,0.1500,31237.0
PPN,2025-08-01 06:22:00,06:22:00,06:23:00,06:24:00,626.3300,626.3700,0.0400,0.0700,0.1200,-0.1500,22205.0
PNN,2025-08-01 06:25:00,06:25:00,06:26:00,06:27:00,626.3700,626.3500,-0.0200,0.0800,-0.0300,-0.0700,9364.0
NPN,2025-08-01 06:28:00,06:28:00,06:30:00,06:31:00,626.3500,626.3600,0.0100,-0.0700,0.2200,-0.1400,6721.0
PNP,2025-08-01 06:32:00,06:32:00,06:33:00,06:34:00,626.3600,626.4000,0.0400,0.0600,-0.1200,0.1000,6353.0
OOP,2025-08-01 06:35:00,06:35:00,06:36:00,06:37:00,626.4000,626.4100,0.0100,0.0000,0.0000,0.0100,9835.0
PNP,2025-08-01 06:38:00,06:38:00,06:39:00,06:40:00,626.4100,626.6500,0.2400,0.1900,-0.1100,0.1600,10739.0
NNP,2025-08-01 06:41:00,06:41:00,06:42:00,06:43:00,626.6500,626.6500,0.0000,-0.0500,-0.0200,0.0700,5562.0
NNP,2025-08-01 06:44:00,06:44:00,06:45:00,06:46:00,626.6500,626.6700,0.0200,-0.0300,-0.0200,0.0700,4205.0
PON,2025-08-01 06:47:00,06:47:00,06:48:00,06:49:00,626.6700,626.4800,-0.1900,0.1400,0.0000,-0.3300,16602.0
PPN,2025-08-01 06:50:00,06:50:00,06:51:00,06:52:00,626.4800,626.6700,0.1900,0.0600,0.1900,-0.0600,26185.0
NPP,2025-08-01 06:53:00,06:53:00,06:54:00,06:55:00,626.6700,626.7300,0.0600,-0.0900,0.0600,0.0900,9828.0
PNP,2025-08-01 06:56:00,06:56:00,06:57:00,06:58:00,626.7300,626.9100,0.1800,0.0800,-0.0300,0.1300,26252.0
NPN,2025-08-01 06:59:00,06:59:00,07:00:00,07:01:00,626.9100,626.6700,-0.2400,-1.5300,4.2900,-3.0000,159055.0
POP,2025-08-01 07:02:00,07:02:00,07:03:00,07:04:00,626.6700,626.9600,0.2900,0.2300,0.0000,0.0600,152000.0
NPN,2025-08-01 07:05:00,07:05:00,07:06:00,07:07:00,626.9600,626.8100,-0.1500,-0.0200,0.0098,-0.1398,19658.0
PPP,2025-08-01 07:08:00,07:08:00,07:09:00,07:10:00,626.8100,627.0000,0.1900,0.0400,0.0400,0.1100,27712.0
PPN,2025-08-01 07:11:00,07:11:00,07:12:00,07:13:00,627.0000,626.8500,-0.1500,0.0500,0.1100,-0.3100,28407.0
PNP,2025-08-01 07:14:00,07:14:00,07:15:00,07:16:00,626.8500,626.8100,-0.0400,0.0700,-0.1300,0.0200,27073.0
NPN,2025-08-01 07:17:00,07:17:00,07:18:00,07:19:00,626.8100,626.7000,-0.1100,-0.1781,0.0781,-0.0100,63626.0
NNP,2025-08-01 07:20:00,07:20:00,07:21:00,07:22:00,626.7000,626.7900,0.0900,-0.0100,-0.0700,0.1700,21342.0
PNP,2025-08-01 07:23:00,07:23:00,07:24:00,07:25:00,626.7900,626.8600,0.0700,0.0800,-0.0300,0.0200,49535.0
NPP,2025-08-01 07:26:00,07:26:00,07:27:00,07:28:00,626.8600,626.8900,0.0300,-0.1200,0.0200,0.1300,22521.0
NNP,2025-08-01 07:29:00,07:29:00,07:30:00,07:31:00,626.8900,626.1300,-0.7600,-0.3600,-0.6000,0.2000,283605.0
PNN,2025-08-01 07:32:00,07:32:00,07:33:00,07:34:00,626.1300,625.5000,-0.6300,0.1000,-0.2900,-0.4400,211305.0
PPN,2025-08-01 07:35:00,07:35:00,07:36:00,07:37:00,625.5000,626.2700,0.7700,0.3900,0.5700,-0.1900,261307.0
PPP,2025-08-01 07:38:00,07:38:00,07:39:00,07:40:00,626.2700,627.4700,1.2000,0.2400,0.2300,0.7300,167572.0
PNP,2025-08-01 07:41:00,07:41:00,07:42:00,07:43:00,627.4700,627.7100,0.2400,0.5300,-0.3300,0.0400,157379.0
NNP,2025-08-01 07:44:00,07:44:00,07:45:00,07:46:00,627.7100,626.9600,-0.7500,-0.1200,-0.6600,0.0300,108815.0
PPN,2025-08-01 07:47:00,07:47:00,07:48:00,07:49:00,626.9600,626.7600,-0.2000,0.0100,0.1000,-0.3100,66688.0
NNN,2025-08-01 07:50:00,07:50:00,07:51:00,07:52:00,626.7600,626.4400,-0.3200,-0.0500,-0.2600,-0.0100,91361.0
