pattern,timestamp,minute_1_time,minute_2_time,minute_3_time,first_open,last_next_open,total_change,change_1,change_2,change_3,volume
PNN,2025-08-01 07:53:00,07:53:00,07:54:00,07:55:00,626.4400,626.5100,0.0700,0.3300,-0.2000,-0.0600,113734.0
NPN,2025-08-01 07:56:00,07:56:00,07:57:00,07:58:00,626.5100,626.1000,-0.4100,-0.4400,0.1100,-0.0800,101660.0
NPN,2025-08-01 07:59:00,07:59:00,08:00:00,08:01:00,626.1000,626.4200,0.3200,-0.1500,0.5500,-0.0800,64487.0
PNP,2025-08-01 08:02:00,08:02:00,08:03:00,08:04:00,626.4200,626.1800,-0.2400,0.1600,-0.4800,0.0800,52894.0
PPN,2025-08-01 08:05:00,08:05:00,08:06:00,08:07:00,626.1800,626.1600,-0.0200,0.0700,0.0700,-0.1600,53735.0
NNP,2025-08-01 08:08:00,08:08:00,08:09:00,08:10:00,626.1600,626.2200,0.0600,-0.1101,-0.0399,0.2100,48422.0
NNN,2025-08-01 08:11:00,08:11:00,08:12:00,08:13:00,626.2200,625.6800,-0.5400,-0.2400,-0.2500,-0.0500,48577.0
PPN,2025-08-01 08:14:00,08:14:00,08:15:00,08:16:00,625.6800,625.7000,0.0200,0.0200,0.0800,-0.0800,52417.0
PPN,2025-08-01 08:17:00,08:17:00,08:18:00,08:19:00,625.7000,625.9500,0.2500,0.2100,0.0699,-0.0299,85940.0
NNP,2025-08-01 08:20:00,08:20:00,08:21:00,08:22:00,625.9500,625.6900,-0.2600,-0.2600,-0.0100,0.0100,48497.0
PNN,2025-08-01 08:23:00,08:23:00,08:24:00,08:25:00,625.6900,625.3699,-0.3201,0.0300,-0.0800,-0.2701,71120.0
PPP,2025-08-01 08:26:00,08:26:00,08:27:00,08:28:00,625.3699,625.6800,0.3101,0.1101,0.0100,0.1900,72925.0
PNP,2025-08-01 08:29:00,08:29:00,08:30:00,08:31:00,625.6800,625.3600,-0.3200,0.6200,-0.9900,0.0500,1757228.0
NNN,2025-08-01 08:32:00,08:32:00,08:33:00,08:34:00,625.3600,624.3150,-1.0450,-0.7000,-0.0200,-0.3250,1722886.0
NNP,2025-08-01 08:35:00,08:35:00,08:36:00,08:37:00,624.3150,624.5700,0.2550,-0.2550,-0.1700,0.6800,1489058.0
NNN,2025-08-01 08:38:00,08:38:00,08:39:00,08:40:00,624.5700,623.3400,-1.2300,-0.1800,-0.6400,-0.4100,1307533.0
NNP,2025-08-01 08:41:00,08:41:00,08:42:00,08:43:00,623.3400,622.6800,-0.6600,-0.0706,-0.6494,0.0600,1304451.0
NNP,2025-08-01 08:44:00,08:44:00,08:45:00,08:46:00,622.6800,621.9100,-0.7700,-0.3700,-0.5000,0.1000,1493035.0
NNN,2025-08-01 08:47:00,08:47:00,08:48:00,08:49:00,621.9100,621.3200,-0.5900,-0.0500,-0.3400,-0.2000,1297490.0
PPN,2025-08-01 08:50:00,08:50:00,08:51:00,08:52:00,621.3200,621.3200,0.0000,0.1500,0.4700,-0.6200,1650890.0
NPP,2025-08-01 08:53:00,08:53:00,08:54:00,08:55:00,621.3200,621.7100,0.3900,-0.0300,0.2800,0.1400,1253002.0
PNO,2025-08-01 08:56:00,08:56:00,08:57:00,08:58:00,621.7100,621.5300,-0.1800,0.3300,-0.5100,0.0000,1278749.0
ONN,2025-08-01 08:59:00,08:59:00,09:00:00,09:01:00,621.5300,619.9100,-1.6200,0.0000,-1.2100,-0.4100,1403214.0
NPP,2025-08-01 09:02:00,09:02:00,09:03:00,09:04:00,619.9100,621.0500,1.1400,-0.0500,0.6300,0.5600,1758224.0
NPN,2025-08-01 09:05:00,09:05:00,09:06:00,09:07:00,621.0500,620.2800,-0.7700,-0.5500,0.5000,-0.7200,1577153.0
PPP,2025-08-01 09:08:00,09:08:00,09:09:00,09:10:00,620.2800,621.8200,1.5400,0.5600,0.5100,0.4700,1354767.0
NPN,2025-08-01 09:11:00,09:11:00,09:12:00,09:13:00,621.8200,621.8100,-0.0100,-0.0670,0.5820,-0.5250,1228075.0
PPP,2025-08-01 09:14:00,09:14:00,09:15:00,09:16:00,621.8100,622.5950,0.7850,0.0900,0.2500,0.4450,951502.0
PNN,2025-08-01 09:17:00,09:17:00,09:18:00,09:19:00,622.5950,622.5100,-0.0850,0.0750,-0.0125,-0.1475,953474.0
PNN,2025-08-01 09:20:00,09:20:00,09:21:00,09:22:00,622.5100,622.1700,-0.3400,0.5400,-0.5600,-0.3200,1181883.0
PPN,2025-08-01 09:23:00,09:23:00,09:24:00,09:25:00,622.1700,622.6600,0.4900,0.7700,0.1100,-0.3900,1015091.0
PNP,2025-08-01 09:26:00,09:26:00,09:27:00,09:28:00,622.6600,623.2000,0.5400,0.8500,-0.5100,0.2000,841312.0
PPP,2025-08-01 09:29:00,09:29:00,09:30:00,09:31:00,623.2000,623.5300,0.3300,0.1700,0.0600,0.1000,1042565.0
NPN,2025-08-01 09:32:00,09:32:00,09:33:00,09:34:00,623.5300,623.8200,0.2900,-0.0900,0.4400,-0.0600,1181369.0
NPP,2025-08-01 09:35:00,09:35:00,09:36:00,09:37:00,623.8200,623.9100,0.0900,-0.3800,0.1900,0.2800,975620.0
NNN,2025-08-01 09:38:00,09:38:00,09:39:00,09:40:00,623.9100,622.9800,-0.9300,-0.6000,-0.2700,-0.0600,1211933.0
PNN,2025-08-01 09:41:00,09:41:00,09:42:00,09:43:00,622.9800,622.3600,-0.6200,0.1500,-0.3900,-0.3800,1109584.0
PPN,2025-08-01 09:44:00,09:44:00,09:45:00,09:46:00,622.3600,623.2500,0.8900,0.0400,1.1500,-0.3000,1177610.0
PNP,2025-08-01 09:47:00,09:47:00,09:48:00,09:49:00,623.2500,622.4000,-0.8500,0.0500,-0.9200,0.0200,1061289.0
NNP,2025-08-01 09:50:00,09:50:00,09:51:00,09:52:00,622.4000,622.2400,-0.1600,-0.1700,-0.4000,0.4100,894604.0
NPP,2025-08-01 09:53:00,09:53:00,09:54:00,09:55:00,622.2400,622.5700,0.3300,-0.0900,0.0800,0.3400,551505.0
NNN,2025-08-01 09:56:00,09:56:00,09:57:00,09:58:00,622.5700,621.9400,-0.6300,-0.4700,-0.1100,-0.0500,780369.0
PNN,2025-08-01 09:59:00,09:59:00,10:00:00,10:01:00,621.9400,621.6400,-0.3000,0.0200,-0.0600,-0.2600,936031.0
PPN,2025-08-01 10:02:00,10:02:00,10:03:00,10:04:00,621.6400,621.9700,0.3300,0.4400,0.0900,-0.2000,650921.0
PPP,2025-08-01 10:05:00,10:05:00,10:06:00,10:07:00,621.9700,622.4100,0.4400,0.1800,0.2200,0.0400,751004.0
NNN,2025-08-01 10:08:00,10:08:00,10:09:00,10:10:00,622.4100,622.2500,-0.1600,-0.0980,-0.0420,-0.0200,680251.0
PNN,2025-08-01 10:11:00,10:11:00,10:12:00,10:13:00,622.2500,622.2650,0.0150,0.5900,-0.4200,-0.1550,763093.0
NPN,2025-08-01 10:14:00,10:14:00,10:15:00,10:16:00,622.2650,622.2400,-0.0250,-0.1150,0.5500,-0.4600,610344.0
NNP,2025-08-01 10:17:00,10:17:00,10:18:00,10:19:00,622.2400,622.1300,-0.1100,-0.0400,-0.1100,0.0400,609601.0
PNN,2025-08-01 10:20:00,10:20:00,10:21:00,10:22:00,622.1300,621.8050,-0.3250,0.0600,-0.2300,-0.1550,810452.0
NNP,2025-08-01 10:23:00,10:23:00,10:24:00,10:25:00,621.8050,621.6700,-0.1350,-0.0050,-0.2000,0.0700,704262.0
NNN,2025-08-01 10:26:00,10:26:00,10:27:00,10:28:00,621.6700,621.4150,-0.2550,-0.0600,-0.0900,-0.1050,634264.0
PPN,2025-08-01 10:29:00,10:29:00,10:30:00,10:31:00,621.4150,621.4250,0.0100,0.0950,0.0500,-0.1350,771917.0
PPN,2025-08-01 10:32:00,10:32:00,10:33:00,10:34:00,621.4250,621.5100,0.0850,0.3549,0.1401,-0.4100,683716.0
PPP,2025-08-01 10:35:00,10:35:00,10:36:00,10:37:00,621.5100,622.0700,0.5600,0.1400,0.2400,0.1800,714399.0
PPP,2025-08-01 10:38:00,10:38:00,10:39:00,10:40:00,622.0700,623.0300,0.9600,0.2900,0.2800,0.3900,620179.0
PPP,2025-08-01 10:41:00,10:41:00,10:42:00,10:43:00,623.0300,623.3600,0.3300,0.0400,0.2400,0.0500,757332.0
PPP,2025-08-01 10:44:00,10:44:00,10:45:00,10:46:00,623.3600,623.8600,0.5000,0.2600,0.2135,0.0265,816843.0
NPP,2025-08-01 10:47:00,10:47:00,10:48:00,10:49:00,623.8600,623.7700,-0.0900,-0.5000,0.1700,0.2400,725006.0
NPP,2025-08-01 10:50:00,10:50:00,10:51:00,10:52:00,623.7700,623.6600,-0.1100,-0.2000,0.0300,0.0600,578655.0
NPN,2025-08-01 10:53:00,10:53:00,10:54:00,10:55:00,623.6600,623.5800,-0.0800,-0.0600,0.1200,-0.1400,442352.0
PPP,2025-08-01 10:56:00,10:56:00,10:57:00,10:58:00,623.5800,623.9300,0.3500,0.1200,0.1600,0.0700,595156.0
PPN,2025-08-01 10:59:00,10:59:00,11:00:00,11:01:00,623.9300,624.1900,0.2600,0.0700,0.2000,-0.0100,737270.0
PNP,2025-08-01 11:02:00,11:02:00,11:03:00,11:04:00,624.1900,624.6800,0.4900,0.3200,-0.1200,0.2900,641437.0
NPN,2025-08-01 11:05:00,11:05:00,11:06:00,11:07:00,624.6800,624.7000,0.0200,-0.0400,0.2050,-0.1450,920077.0
NNN,2025-08-01 11:08:00,11:08:00,11:09:00,11:10:00,624.7000,624.2516,-0.4484,-0.1200,-0.0800,-0.2484,610661.0
PNP,2025-08-01 11:11:00,11:11:00,11:12:00,11:13:00,624.2516,624.4400,0.1884,0.1184,-0.2300,0.3000,826945.0
PNN,2025-08-01 11:14:00,11:14:00,11:15:00,11:16:00,624.4400,624.2800,-0.1600,0.1050,-0.1650,-0.1000,694766.0
PNP,2025-08-01 11:17:00,11:17:00,11:18:00,11:19:00,624.2800,624.5600,0.2800,0.2400,-0.0450,0.0850,702319.0
NNP,2025-08-01 11:20:00,11:20:00,11:21:00,11:22:00,624.5600,624.5300,-0.0300,-0.0200,-0.2300,0.2200,753751.0
NPP,2025-08-01 11:23:00,11:23:00,11:24:00,11:25:00,624.5300,624.8600,0.3300,-0.1000,0.0300,0.4000,528862.0
NNN,2025-08-01 11:26:00,11:26:00,11:27:00,11:28:00,624.8600,624.4300,-0.4300,-0.0050,-0.3400,-0.0850,494783.0
NNN,2025-08-01 11:29:00,11:29:00,11:30:00,11:31:00,624.4300,623.9200,-0.5100,-0.2200,-0.1550,-0.1350,778135.0
NPP,2025-08-01 11:32:00,11:32:00,11:33:00,11:34:00,623.9200,624.3700,0.4500,-0.1150,0.4650,0.1000,705879.0
NNN,2025-08-01 11:35:00,11:35:00,11:36:00,11:37:00,624.3700,623.8800,-0.4900,-0.0800,-0.0400,-0.3700,578442.0
NPN,2025-08-01 11:38:00,11:38:00,11:39:00,11:40:00,623.8800,623.2600,-0.6200,-0.1500,0.0600,-0.5300,699562.0
NNP,2025-08-01 11:41:00,11:41:00,11:42:00,11:43:00,623.2600,623.0650,-0.1950,-0.0400,-0.1700,0.0150,702554.0
PPN,2025-08-01 11:44:00,11:44:00,11:45:00,11:46:00,623.0650,623.4300,0.3650,0.0650,0.3800,-0.0800,595872.0
NPN,2025-08-01 11:47:00,11:47:00,11:48:00,11:49:00,623.4300,623.0300,-0.4000,-0.4100,0.0900,-0.0800,635461.0
NPN,2025-08-01 11:50:00,11:50:00,11:51:00,11:52:00,623.0300,622.8000,-0.2300,-0.3200,0.1350,-0.0450,652231.0
NON,2025-08-01 11:53:00,11:53:00,11:54:00,11:55:00,622.8000,622.1000,-0.7000,-0.4600,0.0000,-0.2400,1464892.0
NPN,2025-08-01 11:56:00,11:56:00,11:57:00,11:58:00,622.1000,621.4500,-0.6500,-0.4900,0.1100,-0.2700,1436041.0
NPN,2025-08-01 11:59:00,11:59:00,12:00:00,12:01:00,621.4500,621.3300,-0.1200,-0.1100,0.1100,-0.1200,1461827.0
NON,2025-08-01 12:02:00,12:02:00,12:03:00,12:04:00,621.3300,621.0300,-0.3000,-0.2100,0.0000,-0.0900,966360.0
NPP,2025-08-01 12:05:00,12:05:00,12:06:00,12:07:00,621.0300,620.8800,-0.1500,-0.2800,0.1200,0.0100,746586.0
PNP,2025-08-01 12:08:00,12:08:00,12:09:00,12:10:00,620.8800,621.4200,0.5400,0.5400,-0.1500,0.1500,1157007.0
NPN,2025-08-01 12:11:00,12:11:00,12:12:00,12:13:00,621.4200,620.8100,-0.6100,-0.2700,0.1600,-0.5000,704357.0
PPN,2025-08-01 12:14:00,12:14:00,12:15:00,12:16:00,620.8100,620.8500,0.0400,0.0200,0.0500,-0.0300,590382.0
NPN,2025-08-01 12:17:00,12:17:00,12:18:00,12:19:00,620.8500,620.6600,-0.1900,-0.1500,0.1200,-0.1600,658066.0
PPP,2025-08-01 12:20:00,12:20:00,12:21:00,12:22:00,620.6600,621.1650,0.5050,0.0900,0.2650,0.1500,808737.0
PNN,2025-08-01 12:23:00,12:23:00,12:24:00,12:25:00,621.1650,620.7100,-0.4550,0.1350,-0.4000,-0.1900,747327.0
NNP,2025-08-01 12:26:00,12:26:00,12:27:00,12:28:00,620.7100,620.5100,-0.2000,-0.1100,-0.1400,0.0500,609678.0
PPN,2025-08-01 12:29:00,12:29:00,12:30:00,12:31:00,620.5100,620.9000,0.3900,0.0600,0.6400,-0.3100,930303.0
PPN,2025-08-01 12:32:00,12:32:00,12:33:00,12:34:00,620.9000,620.9100,0.0100,0.0900,0.1100,-0.1900,615579.0
NNN,2025-08-01 12:35:00,12:35:00,12:36:00,12:37:00,620.9100,620.3300,-0.5800,-0.1300,-0.3100,-0.1400,614615.0
NPP,2025-08-01 12:38:00,12:38:00,12:39:00,12:40:00,620.3300,620.7200,0.3900,-0.1000,0.1500,0.3400,696344.0
OPN,2025-08-01 12:41:00,12:41:00,12:42:00,12:43:00,620.7200,620.7500,0.0300,0.0000,0.2500,-0.2200,615502.0
NPN,2025-08-01 12:44:00,12:44:00,12:45:00,12:46:00,620.7500,620.5900,-0.1600,-0.0700,0.2300,-0.3200,462715.0
NPP,2025-08-01 12:47:00,12:47:00,12:48:00,12:49:00,620.5900,621.0250,0.4350,-0.2050,0.3150,0.3250,591020.0
PNN,2025-08-01 12:50:00,12:50:00,12:51:00,12:52:00,621.0250,621.1450,0.1200,0.3449,-0.1499,-0.0750,767373.0
NNN,2025-08-01 12:53:00,12:53:00,12:54:00,12:55:00,621.1450,620.4200,-0.7250,-0.0650,-0.1400,-0.5200,1546534.0
PNN,2025-08-01 12:56:00,12:56:00,12:57:00,12:58:00,620.4200,620.3700,-0.0500,0.1100,-0.1100,-0.0500,520814.0
PPN,2025-08-01 12:59:00,12:59:00,13:00:00,13:01:00,620.3700,620.4900,0.1200,0.2400,0.0800,-0.2000,758646.0
NPN,2025-08-01 13:02:00,13:02:00,13:03:00,13:04:00,620.4900,620.2000,-0.2900,-0.2500,0.1300,-0.1700,610420.0
