pattern,count,frequency_%,total_change,avg_change,std_dev,min_change,max_change,win_rate,return_risk_ratio,avg_volume
PPP,820,10.63,230.4847,0.2811,0.2723,0.0299,5.1100,100.00%,1.0321,297364
OPP,93,1.21,15.4592,0.1662,0.3143,0.0200,2.9700,100.00%,0.5289,96170
PPO,92,1.19,13.3786,0.1454,0.1660,0.0200,1.1400,100.00%,0.8762,114756
POP,96,1.24,12.1016,0.1261,0.0872,0.0198,0.3800,100.00%,1.4459,169006
PNP,867,11.23,85.6771,0.0988,0.1850,-0.7793,2.3000,77.97%,0.5342,282069
PPN,807,10.46,71.5996,0.0887,0.2213,-2.2000,3.6700,75.71%,0.4008,281757
NPP,794,10.29,65.7924,0.0829,0.2257,-3.9200,1.9300,75.82%,0.3671,234565
POO,18,0.23,0.9574,0.0532,0.0389,0.0100,0.1400,100.00%,1.3676,34685
OOP,24,0.31,1.0542,0.0439,0.0573,0.0092,0.2750,100.00%,0.7670,49069
OPO,20,0.26,0.8000,0.0400,0.0303,0.0100,0.1100,100.00%,1.3188,56696
PNO,79,1.02,0.9530,0.0121,0.1081,-0.1450,0.7800,41.77%,0.1116,101225
NOP,75,0.97,0.6065,0.0081,0.0849,-0.2400,0.3400,48.00%,0.0952,160813
OPN,98,1.27,0.3731,0.0038,0.1264,-0.4300,1.0100,38.78%,0.0301,109912
OOO,7,0.09,-0.0001,-0.0000,0.0000,-0.0001,0.0000,0.00%,-0.4082,7589
PON,76,0.98,-0.0348,-0.0005,0.0511,-0.1400,0.1200,43.42%,-0.0090,51522
ONP,104,1.35,-0.6820,-0.0066,0.1043,-0.5200,0.4700,43.27%,-0.0629,98863
NPO,92,1.19,-0.6683,-0.0073,0.0905,-0.4400,0.1700,44.57%,-0.0802,168149
ONO,16,0.21,-0.9551,-0.0597,0.0477,-0.1601,-0.0050,0.00%,-1.2525,35462
OON,17,0.22,-1.0871,-0.0639,0.0556,-0.2200,-0.0063,0.00%,-1.1499,43038
NOO,20,0.26,-1.4998,-0.0750,0.1117,-0.5100,-0.0100,0.00%,-0.6713,86798
PNN,865,11.21,-79.1929,-0.0916,0.1938,-1.5000,2.7100,22.08%,-0.4724,267452
NPN,852,11.04,-81.7004,-0.0959,0.1756,-1.6400,0.4200,21.83%,-0.5459,254090
NNP,864,11.20,-90.6039,-0.1049,0.2073,-2.7800,0.9500,18.17%,-0.5058,268579
NON,60,0.78,-6.3544,-0.1059,0.0943,-0.6400,-0.0200,0.00%,-1.1229,146493
NNO,83,1.08,-11.3753,-0.1371,0.1116,-0.5600,-0.0109,0.00%,-1.2278,92462
ONN,70,0.91,-10.6551,-0.1522,0.1549,-0.9000,-0.0299,0.00%,-0.9827,128220
NNN,708,9.17,-191.0482,-0.2698,0.2135,-1.6700,-0.0299,0.00%,-1.2641,259189
