pattern,timestamp,minute_1_time,minute_2_time,minute_3_time,first_open,last_next_open,total_change,change_1,change_2,change_3,volume
PPP,2025-08-01 04:35:00,04:35:00,04:36:00,04:38:00,626.2900,626.6300,0.3400,0.0200,0.1000,0.2200,2029.0
NNN,2025-08-01 04:40:00,04:40:00,04:42:00,04:43:00,626.6300,626.5500,-0.0800,-0.0100,-0.0500,-0.0200,6009.0
PPN,2025-08-01 04:44:00,04:44:00,04:46:00,04:47:00,626.5500,626.7700,0.2200,0.1400,0.1500,-0.0700,2270.0
PNN,2025-08-01 04:50:00,04:50:00,04:53:00,04:54:00,626.7700,626.6700,-0.1000,0.0500,-0.0500,-0.1000,1901.0
PNN,2025-08-01 04:55:00,04:55:00,04:59:00,05:00:00,626.6700,626.5500,-0.1200,0.0100,-0.0100,-0.1200,2140.0
NPP,2025-08-01 05:01:00,05:01:00,05:02:00,05:03:00,626.5500,626.4400,-0.1100,-0.3200,0.1200,0.0900,6626.0
NPN,2025-08-01 05:04:00,05:04:00,05:06:00,05:07:00,626.4400,626.0600,-0.3800,-0.2200,0.0300,-0.1900,8713.0
PPP,2025-08-01 05:08:00,05:08:00,05:09:00,05:11:00,626.0600,626.4700,0.4100,0.2000,0.1100,0.1000,2173.0
NPN,2025-08-01 05:12:00,05:12:00,05:15:00,05:18:00,626.4700,626.4800,0.0100,-0.0100,0.0800,-0.0600,4856.0
PNN,2025-08-01 05:20:00,05:20:00,05:21:00,05:23:00,626.4800,626.0700,-0.4100,0.0500,-0.4100,-0.0500,2859.0
PNN,2025-08-01 05:24:00,05:24:00,05:25:00,05:26:00,626.0700,626.0800,0.0100,0.1500,-0.0800,-0.0600,3634.0
PPN,2025-08-01 05:27:00,05:27:00,05:28:00,05:29:00,626.0800,626.3500,0.2700,0.2200,0.2000,-0.1500,3243.0
PNP,2025-08-01 05:30:00,05:30:00,05:31:00,05:32:00,626.3500,626.3900,0.0400,0.0500,-0.1100,0.1000,8944.0
NNP,2025-08-01 05:33:00,05:33:00,05:34:00,05:35:00,626.3900,626.2500,-0.1400,-0.0800,-0.0900,0.0300,3320.0
NNN,2025-08-01 05:36:00,05:36:00,05:37:00,05:38:00,626.2500,626.1100,-0.1400,-0.0600,-0.0100,-0.0700,9892.0
