pattern,mean_change,total_occurrences,min_change,max_change,change_std
PPPPP,28.5086,1636,26.035,32.2636,2.4460483468239125
PPPNP,11.42752,650,6.0515,16.1532,3.978979170842692
PNPPP,10.62744,634,5.7357,16.3033,3.8443548975088135
PPNPP,10.994499999999999,627,7.0154,13.902,2.7823409029089157
NPPPP,9.4523,596,6.4526,13.59,2.5770872860654137
PPPPN,8.268919999999998,595,4.8607,11.8078,2.565069830823325
PNPNP,1.27524,475,0.3231,2.8569,1.1917429076776587
NPPPN,1.6935200000000001,426,-0.5815,5.833,2.4766037828041854
PPNPN,1.9775800000000001,422,0.3383,4.5999,1.6470760295141205
NPNPP,0.17308000000000012,412,-3.9753,3.4864,2.763080564695861
PNNPP,1.16372,408,-0.8892,3.7395,1.752859113562753
PNPPN,1.2490400000000004,405,-2.2116,4.5588,2.8643270488894945
PPNNP,1.7423600000000001,400,0.3795,3.4318,1.2266017744158044
NPPNP,1.2256,399,-0.5424,3.0986,1.3335728570273166
NNPPP,1.27182,388,-1.5396,4.5804,2.7307876825194595
PPPNN,0.48125999999999997,371,0.1346,0.7806,0.28339210116021224
NPNPN,-5.2828800000000005,355,-6.642,-4.3315,0.942043240514999
NPNNP,-3.99538,318,-7.2039,-1.6742,2.0327155105916814
PNNPN,-3.5739400000000003,310,-4.8642,-2.4924,1.0713611986627107
NPPNN,-4.324879999999999,308,-7.0642,-2.5673,1.8791809630793943
PNNNP,-2.4328,304,-3.8883,-1.2118,0.9745026859891152
PNPNN,-2.5120599999999995,302,-6.2428,3.2671,3.700429484938201
NNPPN,-3.5270400000000004,302,-4.5552,-1.0805,1.40796946806385
NNPNP,-3.9909400000000006,292,-4.7987,-2.5126,0.9696551928391867
NNNPP,-2.56316,281,-4.9285,-0.8628,1.5973388832680433
PPNNN,-3.61468,279,-4.28,-2.7534,0.6654226153355475
NNPNN,-7.93036,261,-9.1424,-6.4589,1.2432375770543622
NPNNN,-7.38912,245,-8.3597,-5.8642,0.9586342326455902
NNNPN,-7.529059999999999,243,-8.777,-5.8811,1.3776049226828422
NNNNP,-6.3323599999999995,220,-8.9487,-4.9193,1.6136737799195973
PNNNN,-6.81836,220,-8.9653,-4.5801,1.8122144900645725
NNNNN,-8.308039999999998,185,-9.1446,-7.3754,0.8243431585207703
