offset,bars_processed,chunks_formed,unique_patterns,actual_total_change,pattern_sum,verification_diff
0,13273,2654,32,11.6000,11.6300,0.030000
1,13272,2654,32,11.2900,11.3173,0.027300
2,13271,2654,32,11.4100,11.4000,0.010000
3,13270,2654,32,11.4500,11.4500,0.000000
4,13269,2653,32,11.2900,11.2400,0.050000
