pattern,offset_0,offset_1,offset_2,offset_3,offset_4
NNNNN,-7.3754,-9.1176,-8.2967,-9.1446,-7.6059
NNNNP,-5.6129,-4.9193,-6.7757,-8.9487,-5.4052
NNNPN,-8.0313,-8.715,-6.2409,-5.8811,-8.777
NNNPP,-2.0635,-0.8628,-1.6271,-3.3339,-4.9285
NNPNN,-9.1424,-6.877,-8.0496,-6.4589,-9.1239
NNPNP,-2.5126,-4.7184,-4.7987,-4.4053,-3.5197
NNPPN,-3.6749,-1.0805,-3.9922,-4.5552,-4.3324
NNPPP,-1.5396,3.6563,-0.9241,4.5804,0.5861
NPNNN,-5.8642,-7.1741,-7.5917,-8.3597,-7.9559
NPNNP,-3.9109,-4.1018,-7.2039,-1.6742,-3.0861
NPNPN,-5.8503,-4.7982,-6.642,-4.3315,-4.7924
NPNPP,-3.9753,-0.4369,3.4864,1.5794,0.2118
NPPNN,-7.0642,-3.2001,-2.5673,-3.3341,-5.4587
NPPNP,-0.5424,1.7159,0.7517,1.1042,3.0986
NPPPN,1.7662,0.3116,1.1383,-0.5815,5.833
NPPPP,9.1341,9.1112,6.4526,8.9736,13.59
PNNNN,-8.373,-6.2087,-8.9653,-4.5801,-5.9647
PNNNP,-3.8883,-2.5416,-1.2118,-2.5046,-2.0177
PNNPN,-4.8642,-4.3933,-3.5876,-2.5322,-2.4924
PNNPP,3.7395,0.9819,0.1717,-0.8892,1.8147
PNPNN,3.2671,-6.2428,-2.4086,-5.1895,-1.9865
PNPNP,2.8569,0.4134,2.2583,0.5245,0.3231
PNPPN,4.5588,-1.2662,2.6387,2.5255,-2.2116
PNPPP,9.0275,5.7357,10.8364,16.3033,11.2343
PPNNN,-4.0985,-2.7534,-4.28,-3.8652,-3.0763
PPNNP,0.3795,2.1713,3.4318,0.7176,2.0116
PPNPN,0.3383,2.3872,1.5552,4.5999,1.0073
PPNPP,9.3531,11.9608,13.902,7.0154,12.7412
PPPNN,0.7806,0.7635,0.3179,0.1346,0.4097
PPPNP,16.1532,13.5479,12.4979,8.8871,6.0515
PPPPN,11.8078,8.6022,4.8607,7.047,9.0269
PPPPP,26.8513,29.3661,32.2636,28.027,26.035
