pattern,occurrences,total_change,avg_total_change,avg_internal_change,avg_gap_adjustment,avg_volume,std_dev,consistency,actual_data_total_change
PPPPP,315,26.8513,0.0852,0.0858,-0.0006,32069,0.2449,0.8033,11.6000
PPPNP,142,16.1532,0.1138,0.1081,0.0056,59843,0.2458,0.8027,11.6000
PPPPN,140,11.8078,0.0843,0.0745,0.0098,64509,0.3089,0.7640,11.6000
PPNPP,123,9.3531,0.0760,0.0630,0.0131,51084,0.2000,0.8334,11.6000
NPPPP,128,9.1341,0.0714,0.0729,-0.0015,49278,0.1910,0.8397,11.6000
PNPPP,121,9.0275,0.0746,0.0852,-0.0106,44263,0.2630,0.7917,11.6000
PNPPN,74,4.5588,0.0616,0.0569,0.0047,92858,0.1633,0.8597,11.6000
PNNPP,74,3.7395,0.0505,0.0491,0.0014,73632,0.1665,0.8573,11.6000
PNPNN,50,3.2671,0.0653,-0.0348,0.1002,101213,0.6530,0.6050,11.6000
PNPNP,96,2.8569,0.0298,0.0263,0.0035,74331,0.1421,0.8756,11.6000
NPPPN,85,1.7662,0.0208,0.0169,0.0039,69386,0.1312,0.8840,11.6000
PPPNN,84,0.7806,0.0093,-0.0058,0.0151,79609,0.2256,0.8159,11.6000
PPNNP,86,0.3795,0.0044,0.0143,-0.0098,75639,0.1438,0.8743,11.6000
PPNPN,91,0.3383,0.0037,-0.0046,0.0083,68996,0.2681,0.7886,11.6000
NPPNP,81,-0.5424,-0.0067,-0.0025,-0.0042,64081,0.1338,0.8820,11.6000
NNPPP,72,-1.5396,-0.0214,-0.0028,-0.0186,78926,0.1464,0.8723,11.6000
NNNPP,48,-2.0635,-0.0430,-0.0372,-0.0058,62371,0.1283,0.8863,11.6000
NNPNP,61,-2.5126,-0.0412,-0.0368,-0.0044,89000,0.1334,0.8823,11.6000
NNPPN,63,-3.6749,-0.0583,-0.0615,0.0032,101352,0.1378,0.8789,11.6000
PNNNP,45,-3.8883,-0.0864,-0.0870,0.0006,80451,0.1532,0.8671,11.6000
NPNNP,58,-3.9109,-0.0674,-0.0603,-0.0071,159076,0.2977,0.7706,11.6000
NPNPP,65,-3.9753,-0.0612,-0.0631,0.0019,70123,0.5819,0.6321,11.6000
PPNNN,54,-4.0985,-0.0759,-0.0879,0.0120,107639,0.1552,0.8656,11.6000
PNNPN,62,-4.8642,-0.0785,-0.0812,0.0027,95456,0.1030,0.9066,11.6000
NNNNP,42,-5.6129,-0.1336,-0.1247,-0.0089,80895,0.0951,0.9131,11.6000
NPNPN,75,-5.8503,-0.0780,-0.0804,0.0024,87679,0.1201,0.8927,11.6000
NPNNN,47,-5.8642,-0.1248,-0.1333,0.0085,105010,0.1679,0.8563,11.6000
NPPNN,69,-7.0642,-0.1024,-0.1144,0.0120,91052,0.4351,0.6968,11.6000
NNNNN,38,-7.3754,-0.1941,-0.1972,0.0032,83312,0.1305,0.8846,11.6000
NNNPN,54,-8.0313,-0.1487,-0.1495,0.0008,110885,0.2128,0.8245,11.6000
PNNNN,50,-8.3730,-0.1675,-0.1710,0.0035,75324,0.1646,0.8587,11.6000
NNPNN,61,-9.1424,-0.1499,-0.1530,0.0031,98042,0.1678,0.8563,11.6000
