pattern,occurrences,total_change,avg_total_change,avg_internal_change,avg_gap_adjustment,avg_volume,std_dev,consistency,actual_data_total_change
PPPPP,333,29.3661,0.0882,0.0899,-0.0017,26654,0.2231,0.8176,11.2900
PPPNP,147,13.5479,0.0922,0.1090,-0.0169,69414,0.2750,0.7843,11.2900
PPNPP,135,11.9608,0.0886,0.0917,-0.0031,58285,0.1856,0.8434,11.2900
NPPPP,99,9.1112,0.0920,0.0756,0.0164,39182,0.3474,0.7422,11.2900
PPPPN,110,8.6022,0.0782,0.0682,0.0100,68485,0.2560,0.7962,11.2900
PNPPP,107,5.7357,0.0536,0.0833,-0.0297,45867,0.1844,0.8443,11.2900
NNPPP,75,3.6563,0.0488,0.0592,-0.0104,65648,0.1677,0.8564,11.2900
PPNPN,88,2.3872,0.0271,0.0216,0.0056,69114,0.1494,0.8700,11.2900
PPNNP,90,2.1713,0.0241,0.0127,0.0114,85541,0.2061,0.8291,11.2900
NPPNP,75,1.7159,0.0229,0.0329,-0.0100,96424,0.1388,0.8782,11.2900
PNNPP,81,0.9819,0.0121,0.0136,-0.0015,117663,0.1950,0.8368,11.2900
PPPNN,78,0.7635,0.0098,-0.0021,0.0119,63894,0.2087,0.8273,11.2900
PNPNP,96,0.4134,0.0043,0.0115,-0.0072,76182,0.1966,0.8357,11.2900
NPPPN,94,0.3116,0.0033,0.0013,0.0020,67590,0.1920,0.8389,11.2900
NPNPP,83,-0.4369,-0.0053,0.0161,-0.0214,70781,0.1503,0.8693,11.2900
NNNPP,45,-0.8628,-0.0192,-0.0279,0.0087,61262,0.1443,0.8739,11.2900
NNPPN,47,-1.0805,-0.0230,-0.0227,-0.0003,75191,0.1144,0.8973,11.2900
PNPPN,81,-1.2662,-0.0156,0.0288,-0.0445,75266,0.4036,0.7124,11.2900
PNNNP,65,-2.5416,-0.0391,-0.0435,0.0044,101708,0.1461,0.8725,11.2900
PPNNN,63,-2.7534,-0.0437,-0.0482,0.0045,83757,0.1127,0.8987,11.2900
NPPNN,62,-3.2001,-0.0516,-0.0628,0.0112,97517,0.1357,0.8805,11.2900
NPNNP,64,-4.1018,-0.0641,-0.0675,0.0034,91001,0.1117,0.8995,11.2900
PNNPN,63,-4.3933,-0.0697,-0.0787,0.0089,96687,0.1334,0.8823,11.2900
NNPNP,68,-4.7184,-0.0694,-0.0647,-0.0047,91994,0.0913,0.9163,11.2900
NPNPN,74,-4.7982,-0.0648,-0.0703,0.0055,96707,0.1399,0.8773,11.2900
NNNNP,45,-4.9193,-0.1093,-0.1138,0.0045,80138,0.1045,0.9054,11.2900
PNNNN,36,-6.2087,-0.1725,-0.1736,0.0011,126953,0.1827,0.8455,11.2900
PNPNN,70,-6.2428,-0.0892,-0.0863,-0.0029,71231,0.2164,0.8221,11.2900
NNPNN,48,-6.8770,-0.1433,-0.1433,0.0000,120773,0.1962,0.8360,11.2900
NPNNN,47,-7.1741,-0.1526,-0.1572,0.0046,107162,0.1579,0.8636,11.2900
NNNPN,42,-8.7150,-0.2075,-0.2119,0.0044,96781,0.1790,0.8482,11.2900
NNNNN,43,-9.1176,-0.2120,-0.2174,0.0054,79051,0.1278,0.8866,11.2900
