pattern,offset_0,offset_1,offset_2,offset_3,offset_4
NNNNN,38,43,35,35,34
NNNNP,42,45,44,48,41
NNNPN,54,42,47,49,51
NNNPP,48,45,63,57,68
NNPNN,61,48,53,44,55
NNPNP,61,68,52,63,48
NNPPN,63,47,67,61,64
NNPPP,72,75,59,96,86
NPNNN,47,47,54,50,47
NPNNP,58,64,64,64,68
NPNPN,75,74,68,66,72
NPNPP,65,83,96,87,81
NPPNN,69,62,56,60,61
NPPNP,81,75,72,86,85
NPPPN,85,94,65,83,99
NPPPP,128,99,117,115,137
PNNNN,50,36,48,40,46
PNNNP,45,65,62,71,61
PNNPN,62,63,60,54,71
PNNPP,74,81,94,93,66
PNPNN,50,70,61,71,50
PNPNP,96,96,101,90,92
PNPPN,74,81,79,85,86
PNPPP,121,107,139,140,127
PPNNN,54,63,57,57,48
PPNNP,86,90,83,73,68
PPNPN,91,88,93,76,74
PPNPP,123,135,129,126,114
PPPNN,84,78,74,56,79
PPPNP,142,147,130,102,129
PPPPN,140,110,93,125,127
PPPPP,315,333,339,331,318
