pattern,occurrences,total_change,avg_total_change,avg_internal_change,avg_gap_adjustment,avg_volume,std_dev,consistency,actual_data_total_change
PPPPP,339,32.2636,0.0952,0.0973,-0.0021,26600,0.2488,0.8008,11.4100
PPNPP,129,13.9020,0.1078,0.0998,0.0079,68042,0.2172,0.8216,11.4100
PPPNP,130,12.4979,0.0961,0.0749,0.0212,57470,0.3309,0.7514,11.4100
PNPPP,139,10.8364,0.0780,0.0581,0.0199,58504,0.2496,0.8002,11.4100
NPPPP,117,6.4526,0.0552,0.0632,-0.0080,46927,0.2096,0.8267,11.4100
PPPPN,93,4.8607,0.0523,0.0318,0.0204,46099,0.2879,0.7764,11.4100
NPNPP,96,3.4864,0.0363,0.0398,-0.0035,88009,0.2166,0.8220,11.4100
PPNNP,83,3.4318,0.0413,0.0321,0.0093,74643,0.1518,0.8682,11.4100
PNPPN,79,2.6387,0.0334,0.0221,0.0113,75397,0.1109,0.9002,11.4100
PNPNP,101,2.2583,0.0224,0.0252,-0.0029,73578,0.1860,0.8432,11.4100
PPNPN,93,1.5552,0.0167,-0.0021,0.0188,95821,0.1674,0.8566,11.4100
NPPPN,65,1.1383,0.0175,0.0178,-0.0003,68456,0.1749,0.8511,11.4100
NPPNP,72,0.7517,0.0104,-0.0014,0.0119,76201,0.4096,0.7094,11.4100
PPPNN,74,0.3179,0.0043,0.0010,0.0033,83510,0.1538,0.8667,11.4100
PNNPP,94,0.1717,0.0018,0.0049,-0.0031,86814,0.1855,0.8435,11.4100
NNPPP,59,-0.9241,-0.0157,-0.0174,0.0018,74241,0.2425,0.8049,11.4100
PNNNP,62,-1.2118,-0.0195,-0.0257,0.0062,97462,0.1489,0.8704,11.4100
NNNPP,63,-1.6271,-0.0258,-0.0372,0.0114,97989,0.1224,0.8910,11.4100
PNPNN,61,-2.4086,-0.0395,-0.0363,-0.0032,90567,0.1169,0.8953,11.4100
NPPNN,56,-2.5673,-0.0458,-0.0566,0.0108,71763,0.1232,0.8903,11.4100
PNNPN,60,-3.5876,-0.0598,-0.0655,0.0057,80920,0.1902,0.8402,11.4100
NNPPN,67,-3.9922,-0.0596,-0.0687,0.0091,117894,0.1625,0.8602,11.4100
PPNNN,57,-4.2800,-0.0751,-0.0765,0.0014,74038,0.1307,0.8844,11.4100
NNPNP,52,-4.7987,-0.0923,-0.1055,0.0132,84666,0.1266,0.8876,11.4100
NNNPN,47,-6.2409,-0.1328,-0.1312,-0.0016,80653,0.1036,0.9062,11.4100
NPNPN,68,-6.6420,-0.0977,-0.1107,0.0131,78526,0.1653,0.8582,11.4100
NNNNP,44,-6.7757,-0.1540,-0.1613,0.0073,106790,0.1333,0.8824,11.4100
NPNNP,64,-7.2039,-0.1126,-0.1126,0.0000,81955,0.2356,0.8093,11.4100
NPNNN,54,-7.5917,-0.1406,-0.1381,-0.0025,106071,0.1581,0.8635,11.4100
NNPNN,53,-8.0496,-0.1519,-0.1647,0.0129,99386,0.1331,0.8825,11.4100
NNNNN,35,-8.2967,-0.2370,-0.2371,0.0000,106223,0.1394,0.8776,11.4100
PNNNN,48,-8.9653,-0.1868,-0.1791,-0.0076,97290,0.1515,0.8685,11.4100
