pattern,occurrences,total_change,avg_total_change,avg_internal_change,avg_gap_adjustment,avg_volume,std_dev,consistency,actual_data_total_change
PPPPP,318,26.0350,0.0819,0.0837,-0.0019,27696,0.2552,0.7967,11.2900
NPPPP,137,13.5900,0.0992,0.1027,-0.0035,69497,0.2565,0.7959,11.2900
PPNPP,114,12.7412,0.1118,0.1093,0.0024,67956,0.2689,0.7881,11.2900
PNPPP,127,11.2343,0.0885,0.0913,-0.0028,49970,0.2029,0.8313,11.2900
PPPPN,127,9.0269,0.0711,0.0697,0.0013,49803,0.2720,0.7861,11.2900
PPPNP,129,6.0515,0.0469,0.0556,-0.0087,56743,0.2184,0.8208,11.2900
NPPPN,99,5.8330,0.0589,0.0522,0.0067,80199,0.1273,0.8871,11.2900
NPPNP,85,3.0986,0.0365,0.0488,-0.0124,61588,0.1400,0.8772,11.2900
PPNNP,68,2.0116,0.0296,0.0070,0.0226,83517,0.1208,0.8922,11.2900
PNNPP,66,1.8147,0.0275,0.0149,0.0126,88848,0.1449,0.8735,11.2900
PPNPN,74,1.0073,0.0136,0.0047,0.0089,67765,0.1412,0.8763,11.2900
NNPPP,86,0.5861,0.0068,0.0006,0.0062,70801,0.1483,0.8709,11.2900
PPPNN,79,0.4097,0.0052,-0.0108,0.0160,73558,0.1565,0.8647,11.2900
PNPNP,92,0.3231,0.0035,0.0033,0.0002,83159,0.1316,0.8837,11.2900
NPNPP,81,0.2118,0.0026,-0.0132,0.0158,64639,0.1953,0.8366,11.2900
PNPNN,50,-1.9865,-0.0397,-0.0260,-0.0137,123640,0.3481,0.7418,11.2900
PNNNP,61,-2.0177,-0.0331,-0.0484,0.0153,81153,0.2176,0.8213,11.2900
PNPPN,86,-2.2116,-0.0257,-0.0373,0.0116,67306,0.4084,0.7100,11.2900
PNNPN,71,-2.4924,-0.0351,-0.0333,-0.0018,91653,0.1160,0.8961,11.2900
PPNNN,48,-3.0763,-0.0641,-0.0621,-0.0020,70683,0.1440,0.8741,11.2900
NPNNP,68,-3.0861,-0.0454,-0.0533,0.0079,79395,0.1453,0.8731,11.2900
NNPNP,48,-3.5197,-0.0733,-0.0660,-0.0073,78087,0.1634,0.8596,11.2900
NNPPN,64,-4.3324,-0.0677,-0.0728,0.0051,91425,0.1026,0.9070,11.2900
NPNPN,72,-4.7924,-0.0666,-0.0607,-0.0059,102311,0.1031,0.9065,11.2900
NNNPP,68,-4.9285,-0.0725,-0.0778,0.0053,97884,0.1192,0.8935,11.2900
NNNNP,41,-5.4052,-0.1318,-0.1324,0.0006,83755,0.1416,0.8760,11.2900
NPPNN,61,-5.4587,-0.0895,-0.0862,-0.0033,121299,0.1611,0.8612,11.2900
PNNNN,46,-5.9647,-0.1297,-0.1409,0.0112,82807,0.1069,0.9035,11.2900
NNNNN,34,-7.6059,-0.2237,-0.2230,-0.0007,78277,0.1261,0.8880,11.2900
NPNNN,47,-7.9559,-0.1693,-0.1745,0.0052,97800,0.2033,0.8310,11.2900
NNNPN,51,-8.7770,-0.1721,-0.1692,-0.0029,106518,0.1454,0.8731,11.2900
NNPNN,55,-9.1239,-0.1659,-0.1616,-0.0043,120138,0.2158,0.8225,11.2900
