pattern,occurrences,total_change,avg_total_change,avg_internal_change,avg_gap_adjustment,avg_volume,std_dev,consistency,actual_data_total_change
PPPPP,75,6.2013,0.0827,0.0693,0.0134,47661,0.1896,0.8406,11.8100
PNPPP,56,5.2262,0.0933,0.0457,0.0476,77247,0.3101,0.7633,11.8100
PPNPP,32,3.7483,0.1171,0.1200,-0.0029,52817,0.1772,0.8494,11.8100
NPPPP,39,1.5614,0.0400,0.0531,-0.0131,47562,0.1889,0.8411,11.8100
NPNPP,15,1.5097,0.1006,0.0760,0.0247,118960,0.2658,0.7900,11.8100
PNPPN,21,1.1150,0.0531,0.0302,0.0229,74700,0.1232,0.8903,11.8100
PPNPN,24,1.0300,0.0429,0.0376,0.0053,108449,0.1406,0.8768,11.8100
PPPNP,33,1.0085,0.0306,0.0225,0.0081,82581,0.1632,0.8597,11.8100
NPPNP,14,0.8893,0.0635,0.0622,0.0013,131383,0.0895,0.9179,11.8100
PPNNP,19,0.8378,0.0441,0.0295,0.0146,91003,0.1745,0.8514,11.8100
PNNPP,25,0.8217,0.0329,0.0339,-0.0010,100095,0.1191,0.8936,11.8100
NNPPP,13,0.6587,0.0507,0.0493,0.0014,90225,0.1399,0.8773,11.8100
PPPNN,24,0.4091,0.0170,0.0120,0.0050,115096,0.0954,0.9129,11.8100
PPPPN,31,0.3955,0.0128,0.0286,-0.0158,36960,0.1464,0.8723,11.8100
PNPNP,18,0.1404,0.0078,0.0060,0.0018,58612,0.0535,0.9492,11.8100
PNNNP,17,-0.2010,-0.0118,-0.0182,0.0064,107754,0.0992,0.9097,11.8100
PPNNN,12,-0.2358,-0.0197,-0.0200,0.0004,61086,0.0539,0.9489,11.8100
NPPNN,14,-0.3889,-0.0278,-0.0611,0.0333,63179,0.1179,0.8946,11.8100
NPPPN,16,-0.4727,-0.0295,-0.0354,0.0058,61944,0.2171,0.8217,11.8100
NNPNP,15,-0.4849,-0.0323,-0.0378,0.0054,62398,0.0987,0.9102,11.8100
PNPNN,17,-0.6722,-0.0395,-0.0454,0.0058,69854,0.0687,0.9357,11.8100
NPNNP,15,-0.6925,-0.0462,-0.0422,-0.0039,77713,0.0828,0.9236,11.8100
NNPPN,17,-0.6985,-0.0411,-0.0701,0.0290,55192,0.0928,0.9151,11.8100
PNNNN,7,-0.7204,-0.1029,-0.0984,-0.0045,86834,0.0710,0.9337,11.8100
NNNPN,11,-0.7473,-0.0679,-0.0692,0.0012,64830,0.0496,0.9527,11.8100
NNNNP,6,-0.8062,-0.1344,-0.1569,0.0225,65407,0.1324,0.8831,11.8100
NNNPP,14,-0.8480,-0.0606,-0.0712,0.0107,47085,0.1257,0.8883,11.8100
NNNNN,6,-0.9500,-0.1583,-0.1558,-0.0025,67600,0.0454,0.9565,11.8100
NPNPN,15,-1.0367,-0.0691,-0.0803,0.0112,51643,0.0575,0.9456,11.8100
PNNPN,16,-1.2759,-0.0797,-0.0800,0.0002,73074,0.2310,0.8124,11.8100
NNPNN,17,-1.4356,-0.0844,-0.0931,0.0087,73824,0.0875,0.9195,11.8100
NPNNN,15,-2.0863,-0.1391,-0.1388,-0.0003,87641,0.0787,0.9270,11.8100
