pattern,occurrences,total_change,avg_total_change,avg_internal_change,avg_gap_adjustment,avg_volume,std_dev,consistency,actual_data_total_change
PPPPP,82,7.1677,0.0874,0.0888,-0.0014,32684,0.1709,0.8540,11.8700
NPPPP,40,7.0912,0.1773,0.1797,-0.0024,81877,0.3699,0.7300,11.8700
PNPPP,30,4.0248,0.1342,0.1427,-0.0085,69168,0.2651,0.7905,11.8700
PPPNP,34,1.5353,0.0452,0.0404,0.0048,48762,0.1692,0.8553,11.8700
NNPPP,25,1.3057,0.0522,0.0600,-0.0077,88007,0.1116,0.8996,11.8700
PPNPP,29,1.1524,0.0397,0.0703,-0.0306,61271,0.1949,0.8369,11.8700
PNPPN,17,1.1099,0.0653,0.0429,0.0224,73895,0.0903,0.9172,11.8700
PPPPN,32,0.9579,0.0299,0.0136,0.0163,91807,0.1862,0.8430,11.8700
PNPNP,23,0.9074,0.0395,0.0393,0.0002,104975,0.1126,0.8988,11.8700
PPNNP,22,0.6915,0.0314,0.0283,0.0031,117093,0.0911,0.9165,11.8700
PNNPP,22,0.4583,0.0208,0.0336,-0.0127,87721,0.1650,0.8584,11.8700
NPNPP,16,0.3410,0.0213,0.0246,-0.0033,69426,0.0887,0.9185,11.8700
PPNPN,18,0.2679,0.0149,0.0029,0.0120,159758,0.1018,0.9076,11.8700
NPPNP,22,-0.1656,-0.0075,0.0156,-0.0232,46512,0.0710,0.9337,11.8700
NPPPN,29,-0.1800,-0.0062,-0.0160,0.0098,85424,0.1409,0.8765,11.8700
NPNNP,21,-0.3207,-0.0153,-0.0148,-0.0004,80118,0.0682,0.9362,11.8700
NNNPP,14,-0.5308,-0.0379,-0.0461,0.0082,89097,0.0598,0.9436,11.8700
PNNNN,6,-0.5850,-0.0975,-0.1050,0.0075,59814,0.0709,0.9338,11.8700
PNNPN,12,-0.5886,-0.0490,-0.0678,0.0187,80305,0.0831,0.9233,11.8700
NNPPN,14,-0.6201,-0.0443,-0.0678,0.0235,66505,0.1384,0.8784,11.8700
NNPNN,8,-0.6738,-0.0842,-0.0811,-0.0031,49745,0.0471,0.9551,11.8700
PNPNN,16,-0.6817,-0.0426,-0.0529,0.0103,58537,0.0925,0.9154,11.8700
PPPNN,13,-0.7506,-0.0577,-0.0547,-0.0030,42046,0.1578,0.8637,11.8700
NNNNP,7,-0.8359,-0.1194,-0.1093,-0.0101,63386,0.0925,0.9153,11.8700
NPNPN,17,-0.8924,-0.0525,-0.0536,0.0011,49275,0.0792,0.9266,11.8700
PPNNN,16,-0.8941,-0.0559,-0.0544,-0.0015,64057,0.1131,0.8984,11.8700
NNNPN,9,-0.9349,-0.1039,-0.1106,0.0068,76949,0.1359,0.8804,11.8700
NNNNN,6,-0.9863,-0.1644,-0.1617,-0.0027,87098,0.0505,0.9519,11.8700
PNNNP,21,-0.9939,-0.0473,-0.0610,0.0137,72921,0.0550,0.9479,11.8700
NPPNN,16,-1.1427,-0.0714,-0.0528,-0.0186,90364,0.1304,0.8847,11.8700
NNPNP,19,-1.5815,-0.0832,-0.0802,-0.0031,84079,0.2189,0.8204,11.8700
NPNNN,13,-1.7824,-0.1371,-0.1486,0.0115,66635,0.1175,0.8948,11.8700
