pattern,offset_0,offset_1,offset_2,offset_3,offset_4
NNNNN,6,13,8,6,6
NNNNP,6,9,11,6,7
NNNPN,11,8,9,11,9
NNNPP,17,11,13,14,14
NNPNN,13,16,9,17,8
NNPNP,8,18,10,15,19
NNPPN,20,18,8,17,14
NNPPP,16,19,26,13,25
NPNNN,9,8,9,15,13
NPNNP,15,17,18,15,21
NPNPN,21,17,17,15,17
NPNPP,21,14,32,15,16
NPPNN,10,15,15,14,16
NPPNP,21,17,21,14,22
NPPPN,25,21,28,16,29
NPPPP,31,28,29,39,40
PNNNN,16,6,4,7,6
PNNNP,13,13,14,17,21
PNNPN,23,11,23,16,12
PNNPP,20,23,17,25,22
PNPNN,12,11,21,17,16
PNPNP,23,31,20,18,23
PNPPN,12,18,20,21,17
PNPPP,33,38,29,56,30
PPNNN,10,10,15,12,16
PPNNP,19,23,23,19,22
PPNPN,21,24,18,24,18
PPNPP,35,35,45,32,29
PPPNN,23,23,16,24,13
PPPNP,38,46,35,33,34
PPPPN,44,30,29,31,32
PPPPP,77,78,77,75,82
