pattern,offset_0,offset_1,offset_2,offset_3,offset_4
NNNNN,-1.015,-1.965,-1.5194,-0.95,-0.9863
NNNNP,-0.58,-0.8385,-0.6638,-0.8062,-0.8359
NNNPN,-1.5589,-0.8372,-0.7998,-0.7473,-0.9349
NNNPP,-0.6234,-1.17,-0.703,-0.848,-0.5308
NNPNN,-1.4982,-1.3625,-0.9366,-1.4356,-0.6738
NNPNP,-0.3498,-0.827,-0.5563,-0.4849,-1.5815
NNPPN,-1.7301,-1.1789,-0.335,-0.6985,-0.6201
NNPPP,0.5142,0.368,0.1151,0.6587,1.3057
NPNNN,-0.6856,-0.738,-0.9692,-2.0863,-1.7824
NPNNP,-0.5426,-0.6191,-0.7166,-0.6925,-0.3207
NPNPN,-0.9127,-1.0666,-0.7519,-1.0367,-0.8924
NPNPP,0.1969,0.95,-0.8358,1.5097,0.341
NPPNN,-0.4638,-0.9849,-1.2902,-0.3889,-1.1427
NPPNP,1.7207,-0.7076,0.7365,0.8893,-0.1656
NPPPN,1.77,-0.0555,-0.5219,-0.4727,-0.18
NPPPP,3.1037,1.5115,1.9258,1.5614,7.0912
PNNNN,-1.8057,-0.6733,-0.545,-0.7204,-0.585
PNNNP,-0.6908,-1.59,-1.1918,-0.201,-0.9939
PNNPN,-0.3939,-0.7191,-0.0218,-1.2759,-0.5886
PNNPP,0.7118,0.1322,0.6809,0.8217,0.4583
PNPNN,-0.7645,-0.43,-1.0819,-0.6722,-0.6817
PNPNP,0.2098,0.9348,0.3743,0.1404,0.9074
PNPPN,0.0991,0.4456,1.1703,1.115,1.1099
PNPPP,2.1586,1.612,1.2004,5.2262,4.0248
PPNNN,-0.93,-0.6532,-0.2617,-0.2358,-0.8941
PPNNP,0.59,1.5189,0.0134,0.8378,0.6915
PPNPN,-0.0678,0.574,0.7969,1.03,0.2679
PPNPP,1.8641,2.0277,3.0777,3.7483,1.1524
PPPNN,0.5146,0.1354,1.3502,0.4091,-0.7506
PPPNP,0.9215,4.4639,5.3092,1.0085,1.5353
PPPPN,1.5199,5.9539,1.8595,0.3955,0.9579
PPPPP,9.9379,7.5885,6.7588,6.2013,7.1677
