pattern,occurrences,total_change,avg_total_change,avg_internal_change,avg_gap_adjustment,avg_volume,std_dev,consistency,actual_data_total_change
PPPPP,78,7.5885,0.0973,0.0914,0.0059,52643,0.1767,0.8498,11.7700
PPPPN,30,5.9539,0.1985,0.1703,0.0281,92179,0.4947,0.6690,11.7700
PPPNP,46,4.4639,0.0970,0.0906,0.0064,73014,0.1622,0.8605,11.7700
PPNPP,35,2.0277,0.0579,0.0400,0.0179,35819,0.1522,0.8679,11.7700
PNPPP,38,1.6120,0.0424,0.0634,-0.0209,50780,0.1546,0.8661,11.7700
PPNNP,23,1.5189,0.0660,0.0694,-0.0034,84016,0.1072,0.9031,11.7700
NPPPP,28,1.5115,0.0540,0.0563,-0.0023,59196,0.0736,0.9314,11.7700
NPNPP,14,0.9500,0.0679,0.0665,0.0014,108436,0.1352,0.8809,11.7700
PNPNP,31,0.9348,0.0302,0.0359,-0.0058,71367,0.1312,0.8840,11.7700
PPNPN,24,0.5740,0.0239,0.0274,-0.0035,119691,0.1691,0.8554,11.7700
PNPPN,18,0.4456,0.0248,0.0136,0.0112,76138,0.1001,0.9090,11.7700
NNPPP,19,0.3680,0.0194,0.0208,-0.0014,118602,0.0723,0.9326,11.7700
PPPNN,23,0.1354,0.0059,0.0038,0.0021,74263,0.2289,0.8137,11.7700
PNNPP,23,0.1322,0.0057,-0.0051,0.0108,68253,0.1392,0.8778,11.7700
NPPPN,21,-0.0555,-0.0026,0.0001,-0.0027,82558,0.1101,0.9009,11.7700
PNPNN,11,-0.4300,-0.0391,-0.0382,-0.0008,132238,0.0611,0.9424,11.7700
NPNNP,17,-0.6191,-0.0364,-0.0408,0.0044,106906,0.1111,0.9000,11.7700
PPNNN,10,-0.6532,-0.0653,-0.0733,0.0080,54240,0.1174,0.8950,11.7700
PNNNN,6,-0.6733,-0.1122,-0.1114,-0.0008,64528,0.0986,0.9102,11.7700
NPPNP,17,-0.7076,-0.0416,-0.0441,0.0025,52781,0.1880,0.8417,11.7700
PNNPN,11,-0.7191,-0.0654,-0.0709,0.0055,58211,0.0557,0.9472,11.7700
NPNNN,8,-0.7380,-0.0922,-0.1027,0.0105,52364,0.0714,0.9334,11.7700
NNPNP,18,-0.8270,-0.0459,-0.0457,-0.0002,52780,0.1309,0.8843,11.7700
NNNPN,8,-0.8372,-0.1046,-0.1033,-0.0014,91265,0.0838,0.9226,11.7700
NNNNP,9,-0.8385,-0.0932,-0.1013,0.0081,68554,0.0383,0.9631,11.7700
NPPNN,15,-0.9849,-0.0657,-0.0717,0.0061,115956,0.1398,0.8773,11.7700
NPNPN,17,-1.0666,-0.0627,-0.0664,0.0037,76750,0.0410,0.9606,11.7700
NNNPP,11,-1.1700,-0.1064,-0.0691,-0.0372,59013,0.1200,0.8929,11.7700
NNPPN,18,-1.1789,-0.0655,-0.0577,-0.0078,70054,0.1209,0.8921,11.7700
NNPNN,16,-1.3625,-0.0852,-0.0885,0.0033,87507,0.0661,0.9380,11.7700
PNNNP,13,-1.5900,-0.1223,-0.1050,-0.0173,46144,0.1525,0.8677,11.7700
NNNNN,13,-1.9650,-0.1512,-0.1570,0.0058,49342,0.0971,0.9115,11.7700
