pattern,occurrences,total_change,avg_total_change,avg_internal_change,avg_gap_adjustment,avg_volume,std_dev,consistency,actual_data_total_change
PPPPP,77,6.7588,0.0878,0.0911,-0.0033,34629,0.1815,0.8464,11.6400
PPPNP,35,5.3092,0.1517,0.1665,-0.0148,79900,0.4015,0.7135,11.6400
PPNPP,45,3.0777,0.0684,0.0758,-0.0074,72943,0.2004,0.8331,11.6400
NPPPP,29,1.9258,0.0664,0.0718,-0.0054,58576,0.1383,0.8785,11.6400
PPPPN,29,1.8595,0.0641,0.0793,-0.0152,110542,0.1744,0.8515,11.6400
PPPNN,16,1.3502,0.0844,0.0709,0.0135,101057,0.3433,0.7444,11.6400
PNPPP,29,1.2004,0.0414,0.0615,-0.0201,33135,0.1877,0.8419,11.6400
PNPPN,20,1.1703,0.0585,0.0593,-0.0007,111212,0.0883,0.9189,11.6400
PPNPN,18,0.7969,0.0443,0.0408,0.0034,75393,0.0865,0.9204,11.6400
NPPNP,21,0.7365,0.0351,0.0251,0.0099,69468,0.1132,0.8983,11.6400
PNNPP,17,0.6809,0.0401,0.0409,-0.0008,87080,0.0819,0.9243,11.6400
PNPNP,20,0.3743,0.0187,0.0270,-0.0082,92398,0.1927,0.8385,11.6400
NNPPP,26,0.1151,0.0044,0.0230,-0.0185,65800,0.1076,0.9028,11.6400
PPNNP,23,0.0134,0.0006,-0.0105,0.0111,69052,0.2170,0.8217,11.6400
PNNPN,23,-0.0218,-0.0009,-0.0089,0.0079,76649,0.1039,0.9059,11.6400
PPNNN,15,-0.2617,-0.0174,-0.0717,0.0542,126025,0.1188,0.8938,11.6400
NNPPN,8,-0.3350,-0.0419,-0.0194,-0.0225,66129,0.1086,0.9020,11.6400
NPPPN,28,-0.5219,-0.0186,-0.0083,-0.0103,81550,0.1575,0.8639,11.6400
PNNNN,4,-0.5450,-0.1362,-0.1400,0.0038,56478,0.0248,0.9758,11.6400
NNPNP,10,-0.5563,-0.0556,-0.0490,-0.0066,80888,0.0834,0.9231,11.6400
NNNNP,11,-0.6638,-0.0603,-0.0634,0.0030,48371,0.0512,0.9513,11.6400
NNNPP,13,-0.7030,-0.0541,-0.0818,0.0277,47896,0.1499,0.8696,11.6400
NPNNP,18,-0.7166,-0.0398,-0.0429,0.0030,122682,0.0868,0.9201,11.6400
NPNPN,17,-0.7519,-0.0442,-0.0465,0.0022,66487,0.0653,0.9387,11.6400
NNNPN,9,-0.7998,-0.0889,-0.0833,-0.0055,58835,0.0315,0.9695,11.6400
NPNPP,32,-0.8358,-0.0261,0.0196,-0.0457,68977,0.1498,0.8697,11.6400
NNPNN,9,-0.9366,-0.1041,-0.1013,-0.0028,54399,0.0440,0.9578,11.6400
NPNNN,9,-0.9692,-0.1077,-0.1074,-0.0002,77875,0.0586,0.9446,11.6400
PNPNN,21,-1.0819,-0.0515,-0.0491,-0.0024,92856,0.0475,0.9547,11.6400
PNNNP,14,-1.1918,-0.0851,-0.0769,-0.0082,66032,0.1284,0.8862,11.6400
NPPNN,15,-1.2902,-0.0860,-0.1000,0.0140,74958,0.0855,0.9213,11.6400
NNNNN,8,-1.5194,-0.1899,-0.2024,0.0125,59745,0.1445,0.8737,11.6400
