pattern,mean_change,total_occurrences,min_change,max_change,change_std
PPPPP,95.08664000000002,4785,86.9537,105.1573,8.916086820909722
PPPNP,29.700919999999996,1895,21.2264,38.0941,7.135000266082685
PPNPP,27.304560000000002,1868,20.892,33.432,4.94345424859986
PNPPP,30.07638,1865,25.8881,36.3064,4.3118311663375675
NPPPP,29.760659999999994,1822,27.1973,33.9424,2.6229840216821754
PPPPN,25.349880000000002,1821,19.182,33.9026,5.844213946032435
NPPPN,5.00994,1173,2.978,7.2982,1.7318424835994755
PNNPP,5.267740000000001,1168,0.1261,10.7417,4.345931324008698
PNPNP,0.8529,1149,-3.4566,3.9729,3.021490680938798
PPNPN,2.9203200000000002,1134,-1.8454,8.3783,3.700567541202295
NNPPP,4.23604,1130,1.7101,7.1515,2.425637977522615
PPNNP,5.44668,1127,1.8481,8.4149,2.4893974676616026
NPPNP,2.74922,1107,0.3617,7.022,2.541274538887918
PPPNN,2.07744,1099,-1.3199,5.5569,2.552553705213663
PNPPN,1.51292,1093,-2.9895,4.8324,3.3663617700716597
NPNPP,1.6650199999999997,1090,-1.4547,5.1559,2.6563936101413885
NPNPN,-13.441659999999999,870,-16.3111,-11.2069,2.1815848443276282
NNPPN,-11.17954,864,-12.4149,-7.52,2.065112000110406
NPNNP,-11.91502,859,-16.397,-10.1403,2.722516680756979
PNNNP,-11.929400000000001,858,-13.0776,-10.727,0.8797870083150807
PNPNN,-9.762699999999999,856,-12.8674,-6.0404,2.7387918559101934
NPPNN,-12.772380000000002,850,-17.1588,-10.2156,3.0694878061331337
NNNPP,-10.119179999999998,826,-13.6618,-8.839,2.006289221921904
PPNNN,-12.95944,822,-14.9477,-10.2694,1.9401428937065437
PNNPN,-10.272480000000002,818,-11.8706,-7.3524,1.7324359171409485
NNPNP,-11.31334,811,-15.5035,-8.3136,2.822208535526743
NNPNN,-24.079379999999997,679,-27.0328,-21.4317,2.1251688631729957
NPNNN,-23.709300000000002,676,-27.0535,-21.3111,2.5136417216858886
NNNPN,-23.559980000000003,672,-31.2795,-20.1635,4.564916190577873
NNNNP,-21.073680000000003,640,-24.6121,-18.501,2.484313296868976
PNNNN,-21.708299999999998,640,-26.2301,-18.2005,3.0014031160442274
NNNNN,-29.836019999999998,534,-31.6184,-26.9927,1.9935641968594846
