pattern,occurrences,total_change,avg_total_change,avg_internal_change,avg_gap_adjustment,avg_volume,std_dev,consistency,actual_data_total_change
PPPPP,937,86.9537,0.0928,0.0924,0.0004,28865,0.2909,0.7746,9.0700
PPPNP,412,38.0941,0.0925,0.0847,0.0077,57704,0.2462,0.8024,9.0700
PPNPP,362,28.0446,0.0775,0.0792,-0.0017,56823,0.2785,0.7822,9.0700
NPPPP,351,27.9078,0.0795,0.0784,0.0012,51551,0.1957,0.8364,9.0700
PNPPP,352,25.8881,0.0735,0.0812,-0.0077,46585,0.2577,0.7951,9.0700
PPPPN,401,22.7837,0.0568,0.0549,0.0019,59101,0.2741,0.7849,9.0700
PNNPP,222,8.7136,0.0393,0.0387,0.0005,79756,0.1730,0.8525,9.0700
PPNNP,244,7.0361,0.0288,0.0269,0.0019,80477,0.2412,0.8057,9.0700
PNPPN,208,4.8324,0.0232,0.0180,0.0053,84866,0.2111,0.8257,9.0700
PNPNP,239,3.9729,0.0166,0.0173,-0.0006,77186,0.1994,0.8337,9.0700
NPPPN,234,3.6175,0.0155,0.0053,0.0101,78598,0.1547,0.8660,9.0700
PPNPN,222,3.5350,0.0159,0.0084,0.0076,77362,0.2174,0.8214,9.0700
NPPNP,239,2.1502,0.0090,0.0131,-0.0041,82069,0.2043,0.8304,9.0700
NNPPP,261,1.7581,0.0067,0.0147,-0.0079,77242,0.1735,0.8521,9.0700
PPPNN,220,0.8652,0.0039,-0.0038,0.0077,83996,0.2066,0.8288,9.0700
NPNPP,199,-1.4547,-0.0073,-0.0042,-0.0031,74909,0.3603,0.7351,9.0700
PNPNN,157,-6.0404,-0.0385,-0.0732,0.0347,99336,0.3979,0.7153,9.0700
NNNPP,154,-8.8390,-0.0574,-0.0555,-0.0018,90207,0.1253,0.8887,9.0700
NNPNP,163,-9.1616,-0.0562,-0.0540,-0.0022,95957,0.1343,0.8816,9.0700
NPNNP,155,-10.1403,-0.0654,-0.0626,-0.0029,127730,0.2154,0.8228,9.0700
PNNPN,162,-10.7061,-0.0661,-0.0704,0.0043,89540,0.1255,0.8885,9.0700
PPNNN,146,-11.6229,-0.0796,-0.0881,0.0085,101871,0.1439,0.8742,9.0700
PNNNP,146,-12.2950,-0.0842,-0.0894,0.0052,94993,0.1832,0.8451,9.0700
NNPPN,166,-12.4149,-0.0748,-0.0750,0.0002,117501,0.1633,0.8596,9.0700
NPNPN,191,-14.0640,-0.0736,-0.0755,0.0019,85387,0.1172,0.8951,9.0700
NPPNN,193,-17.1588,-0.0889,-0.0929,0.0040,106849,0.3019,0.7681,9.0700
PNNNN,125,-18.2005,-0.1456,-0.1507,0.0051,87828,0.1572,0.8641,9.0700
NNNNP,130,-19.5406,-0.1503,-0.1478,-0.0025,93232,0.1336,0.8821,9.0700
NPNNN,127,-21.3111,-0.1678,-0.1752,0.0074,107340,0.1934,0.8380,9.0700
NNPNN,126,-21.4317,-0.1701,-0.1718,0.0017,110023,0.1748,0.8512,9.0700
NNNPN,163,-31.2795,-0.1919,-0.1950,0.0031,112456,0.2420,0.8051,9.0700
NNNNN,113,-31.3920,-0.2778,-0.2783,0.0005,110754,0.1990,0.8340,9.0700
