pattern,offset_0,offset_1,offset_2,offset_3,offset_4
NNNNN,105,104,113,105,107
NNNNP,132,133,130,133,112
NNNPN,120,136,163,117,136
NNNPP,166,191,154,159,156
NNPNN,132,135,126,152,134
NNPNP,167,150,163,173,158
NNPPN,164,200,166,156,178
NNPPP,221,223,261,220,205
NPNNN,155,124,127,126,144
NPNNP,173,177,155,157,197
NPNPN,164,175,191,176,164
NPNPP,225,207,199,226,233
NPPNN,169,156,193,166,166
NPPNP,234,217,239,208,209
NPPPN,241,240,234,252,206
NPPPP,367,387,351,361,356
PNNNN,132,139,125,114,130
PNNNP,195,184,146,159,174
PNNPN,165,153,162,175,163
PNNPP,257,236,222,224,229
PNPNN,169,147,157,189,194
PNPNP,215,240,239,224,231
PNPPN,209,232,208,219,225
PNPPP,406,362,352,342,403
PPNNN,168,147,146,178,183
PPNNP,216,207,244,235,225
PPNPN,223,221,222,249,219
PPNPP,369,353,362,402,382
PPPNN,185,234,220,242,218
PPPNP,340,367,412,393,383
PPPPN,360,392,401,349,319
PPPPP,977,951,937,939,981
