pattern,occurrences,total_change,avg_total_change,avg_internal_change,avg_gap_adjustment,avg_volume,std_dev,consistency,actual_data_total_change
PPPPP,951,91.7539,0.0965,0.0969,-0.0004,26890,0.2550,0.7968,9.0700
PPPPN,392,33.9026,0.0865,0.0831,0.0033,59453,0.2622,0.7923,9.0700
NPPPP,387,27.1973,0.0703,0.0785,-0.0082,60754,0.2781,0.7824,9.0700
PNPPP,362,26.8389,0.0741,0.0783,-0.0042,54999,0.2454,0.8029,9.0700
PPPNP,367,25.4114,0.0692,0.0793,-0.0100,62333,0.3204,0.7573,9.0700
PPNPP,353,24.0412,0.0681,0.0721,-0.0040,55236,0.3136,0.7613,9.0700
NPPNP,217,7.0220,0.0324,0.0358,-0.0034,72591,0.1432,0.8747,9.0700
NPPPN,240,5.7328,0.0239,0.0158,0.0081,81365,0.1691,0.8553,9.0700
PPPNN,234,5.5569,0.0237,0.0119,0.0119,77164,0.1854,0.8436,9.0700
NNPPP,223,4.8718,0.0218,0.0178,0.0040,74775,0.1735,0.8522,9.0700
PPNNP,207,4.8220,0.0233,0.0078,0.0155,81110,0.1514,0.8685,9.0700
NPNPP,207,3.4623,0.0167,0.0088,0.0080,77460,0.2215,0.8187,9.0700
PNNPP,236,3.1174,0.0132,0.0122,0.0011,92230,0.1773,0.8494,9.0700
PPNPN,221,2.9891,0.0135,0.0052,0.0083,70822,0.1483,0.8708,9.0700
PNPNP,240,2.8890,0.0120,0.0120,0.0000,76971,0.1377,0.8790,9.0700
PNPPN,232,-0.7914,-0.0034,-0.0123,0.0089,73803,0.3167,0.7595,9.0700
PNNPN,153,-7.3524,-0.0481,-0.0484,0.0003,94199,0.1162,0.8959,9.0700
PNPNN,147,-9.2415,-0.0629,-0.0593,-0.0035,108413,0.2351,0.8096,9.0700
NPNNP,177,-10.2243,-0.0578,-0.0718,0.0140,84533,0.1385,0.8783,9.0700
PPNNN,147,-10.2694,-0.0699,-0.0712,0.0013,90880,0.1595,0.8624,9.0700
NNPNP,150,-11.4688,-0.0765,-0.0753,-0.0012,92510,0.1747,0.8513,9.0700
NNPPN,200,-11.8449,-0.0592,-0.0642,0.0049,108449,0.1033,0.9064,9.0700
PNNNP,184,-13.0776,-0.0711,-0.0783,0.0072,98261,0.2379,0.8078,9.0700
NNNPP,191,-13.6618,-0.0715,-0.0753,0.0037,96864,0.1366,0.8798,9.0700
NPNPN,175,-14.3350,-0.0819,-0.0827,0.0008,103211,0.1944,0.8373,9.0700
NPPNN,156,-14.8352,-0.0951,-0.0922,-0.0029,104851,0.1781,0.8488,9.0700
NPNNN,124,-21.4825,-0.1732,-0.1797,0.0064,102297,0.2014,0.8324,9.0700
NNNNP,133,-22.5896,-0.1698,-0.1740,0.0041,111281,0.1968,0.8356,9.0700
PNNNN,139,-22.7420,-0.1636,-0.1651,0.0015,98425,0.1409,0.8765,9.0700
NNNPN,136,-23.9885,-0.1764,-0.1813,0.0049,107842,0.1701,0.8546,9.0700
NNPNN,135,-24.1181,-0.1787,-0.1815,0.0029,113373,0.1825,0.8457,9.0700
NNNNN,104,-28.5657,-0.2747,-0.2797,0.0050,104838,0.1840,0.8446,9.0700
