pattern,occurrences,total_change,avg_total_change,avg_internal_change,avg_gap_adjustment,avg_volume,std_dev,consistency,actual_data_total_change
PPPPP,981,104.1011,0.1061,0.1116,-0.0055,26543,0.2553,0.7966,8.8700
PPPNP,383,35.9740,0.0939,0.0911,0.0028,58235,0.2803,0.7811,8.8700
PNPPP,403,32.5204,0.0807,0.0744,0.0063,58379,0.2307,0.8125,8.8700
PPNPP,382,30.1130,0.0788,0.0767,0.0021,57968,0.2334,0.8108,8.8700
NPPPP,356,29.9082,0.0840,0.0889,-0.0049,53493,0.2142,0.8236,8.8700
PPPPN,319,19.1820,0.0601,0.0439,0.0162,46242,0.3049,0.7663,8.8700
PPNNP,225,8.4149,0.0374,0.0343,0.0031,76535,0.1779,0.8490,8.8700
NPPPN,206,7.2982,0.0354,0.0299,0.0056,86364,0.1797,0.8477,8.8700
NNPPP,205,5.6887,0.0277,0.0412,-0.0135,86471,0.2959,0.7717,8.8700
NPNPP,233,5.1559,0.0221,0.0235,-0.0013,82135,0.1823,0.8458,8.8700
PNPPN,225,2.1058,0.0094,0.0139,-0.0045,78602,0.2459,0.8027,8.8700
PPNPN,219,1.5446,0.0071,-0.0027,0.0098,95152,0.2261,0.8156,8.8700
NPPNP,209,0.3617,0.0017,-0.0032,0.0049,72644,0.3703,0.7298,8.8700
PNNPP,229,0.1261,0.0006,0.0040,-0.0034,95381,0.1826,0.8456,8.8700
PPPNN,218,-1.3199,-0.0061,-0.0174,0.0114,85325,0.1794,0.8479,8.8700
PNPNP,231,-3.4566,-0.0150,-0.0115,-0.0035,75442,0.2630,0.7917,8.8700
NNNPP,156,-9.0071,-0.0577,-0.0594,0.0017,97468,0.1416,0.8760,8.8700
PNNPN,163,-10.3032,-0.0632,-0.0689,0.0057,90606,0.1574,0.8640,8.8700
NPPNN,166,-10.6282,-0.0640,-0.0697,0.0057,96981,0.1363,0.8801,8.8700
PNNNP,174,-11.5000,-0.0661,-0.0638,-0.0023,109699,0.1613,0.8611,8.8700
PNPNN,194,-12.0038,-0.0619,-0.0598,-0.0021,100749,0.1676,0.8565,8.8700
NNPNP,158,-12.1192,-0.0767,-0.0777,0.0010,96841,0.1273,0.8871,8.8700
NNPPN,178,-12.3337,-0.0693,-0.0733,0.0040,105093,0.1504,0.8693,8.8700
PPNNN,183,-14.0199,-0.0766,-0.0848,0.0081,80801,0.1535,0.8670,8.8700
NPNPN,164,-16.3111,-0.0995,-0.1041,0.0046,82835,0.2303,0.8128,8.8700
NPNNP,197,-16.3970,-0.0832,-0.0824,-0.0009,95818,0.1818,0.8462,8.8700
NNNNP,112,-18.5010,-0.1652,-0.1739,0.0088,118692,0.1494,0.8700,8.8700
NNNPN,136,-20.5700,-0.1513,-0.1564,0.0051,97436,0.1749,0.8511,8.8700
NNPNN,134,-22.8414,-0.1705,-0.1767,0.0063,99070,0.1656,0.8579,8.8700
NPNNN,144,-25.4810,-0.1770,-0.1764,-0.0005,103901,0.2025,0.8316,8.8700
PNNNN,130,-26.2301,-0.2018,-0.2050,0.0032,105625,0.2002,0.8332,8.8700
NNNNN,107,-30.6113,-0.2861,-0.2872,0.0011,112765,0.2034,0.8310,8.8700
