pattern,occurrences,total_change,avg_total_change,avg_internal_change,avg_gap_adjustment,avg_volume,std_dev,consistency,actual_data_total_change
PPPPP,977,105.1573,0.1076,0.1098,-0.0021,26629,0.2513,0.7992,10.9500
PNPPP,406,36.3064,0.0894,0.0976,-0.0082,57002,0.2441,0.8038,10.9500
NPPPP,367,29.8476,0.0813,0.0869,-0.0056,57706,0.2939,0.7729,10.9500
PPPPN,360,28.5086,0.0792,0.0673,0.0119,59691,0.2435,0.8042,10.9500
PPPNP,340,21.2264,0.0624,0.0719,-0.0095,45182,0.2855,0.7779,10.9500
PPNPP,369,20.8920,0.0566,0.0613,-0.0047,49866,0.3418,0.7453,10.9500
PPNPN,223,8.3783,0.0376,0.0324,0.0052,87677,0.2333,0.8108,10.9500
PNPPN,209,4.4073,0.0211,0.0118,0.0093,80717,0.1636,0.8594,10.9500
PNNPP,257,3.6399,0.0142,0.0201,-0.0059,79576,0.1963,0.8359,10.9500
NPPPN,241,2.9780,0.0124,0.0088,0.0035,85409,0.2157,0.8226,10.9500
PPPNN,185,2.2517,0.0122,0.0024,0.0098,83666,0.1775,0.8493,10.9500
PPNNP,216,1.8481,0.0086,0.0087,-0.0001,93978,0.1645,0.8587,10.9500
NNPPP,221,1.7101,0.0077,0.0104,-0.0026,93587,0.2036,0.8308,10.9500
NPPNP,234,1.5190,0.0065,0.0118,-0.0053,89823,0.2292,0.8135,10.9500
NPNPP,225,-0.0215,-0.0001,0.0065,-0.0066,83200,0.2310,0.8123,10.9500
PNPNP,215,-0.9319,-0.0043,-0.0055,0.0012,91483,0.2554,0.7966,10.9500
NNPNP,167,-8.3136,-0.0498,-0.0469,-0.0028,88671,0.1390,0.8780,10.9500
PNPNN,169,-8.6604,-0.0512,-0.0679,0.0166,84055,0.2475,0.8016,10.9500
NNNPP,166,-9.6258,-0.0580,-0.0619,0.0039,109377,0.1204,0.8925,10.9500
NPNNP,173,-10.1748,-0.0588,-0.0644,0.0056,96530,0.1635,0.8594,10.9500
NPPNN,169,-11.0241,-0.0652,-0.0632,-0.0020,86531,0.1365,0.8799,10.9500
PNNPN,165,-11.1301,-0.0675,-0.0692,0.0018,86975,0.1469,0.8719,10.9500
NPNPN,164,-11.2069,-0.0683,-0.0626,-0.0057,84095,0.1617,0.8608,10.9500
NNPPN,164,-11.7842,-0.0719,-0.0747,0.0028,95964,0.1424,0.8753,10.9500
PNNNP,195,-12.0474,-0.0618,-0.0745,0.0127,94001,0.1989,0.8341,10.9500
PPNNN,168,-13.9373,-0.0830,-0.0839,0.0010,86728,0.2286,0.8140,10.9500
NNNPN,120,-20.1635,-0.1680,-0.1668,-0.0012,114156,0.1894,0.8408,10.9500
PNNNN,132,-20.4423,-0.1549,-0.1566,0.0017,87357,0.1966,0.8357,10.9500
NNNNP,132,-24.6121,-0.1865,-0.1872,0.0007,114158,0.1731,0.8525,10.9500
NNPNN,132,-24.9729,-0.1892,-0.1886,-0.0006,103300,0.1611,0.8613,10.9500
NPNNN,155,-27.0535,-0.1745,-0.1791,0.0045,106864,0.1600,0.8620,10.9500
NNNNN,105,-31.6184,-0.3011,-0.3022,0.0011,124958,0.2142,0.8236,10.9500
