pattern,occurrences,total_change,avg_total_change,avg_internal_change,avg_gap_adjustment,avg_volume,std_dev,consistency,actual_data_total_change
PPPPP,939,87.4672,0.0931,0.0981,-0.0050,24752,0.2704,0.7871,8.9700
NPPPP,361,33.9424,0.0940,0.0819,0.0122,48028,0.3091,0.7639,8.9700
PPNPP,402,33.4320,0.0832,0.0926,-0.0095,61810,0.2202,0.8195,8.9700
PNPPP,342,28.8281,0.0843,0.0910,-0.0067,51868,0.1807,0.8469,8.9700
PPPNP,393,27.7987,0.0707,0.0756,-0.0048,61049,0.2645,0.7908,8.9700
PPPPN,349,22.3725,0.0641,0.0512,0.0129,62673,0.2506,0.7996,8.9700
PNNPP,224,10.7417,0.0480,0.0433,0.0046,99257,0.2672,0.7892,8.9700
NNPPP,220,7.1515,0.0325,0.0353,-0.0027,81926,0.1911,0.8396,8.9700
NPPPN,252,5.4232,0.0215,0.0088,0.0127,76100,0.1822,0.8459,8.9700
PPNNP,235,5.1123,0.0218,0.0190,0.0027,96245,0.1994,0.8337,8.9700
PPPNN,242,3.0333,0.0125,0.0047,0.0079,72360,0.1884,0.8415,8.9700
NPPNP,208,2.6932,0.0129,0.0182,-0.0052,97163,0.1662,0.8575,8.9700
PNPNP,224,1.7911,0.0080,0.0157,-0.0077,76988,0.1690,0.8554,8.9700
NPNPP,226,1.1831,0.0052,0.0155,-0.0103,69666,0.1482,0.8709,8.9700
PPNPN,249,-1.8454,-0.0074,-0.0095,0.0021,75316,0.2540,0.7975,8.9700
PNPPN,219,-2.9895,-0.0137,0.0005,-0.0142,77138,0.3455,0.7432,8.9700
NNPPN,156,-7.5200,-0.0482,-0.0520,0.0038,92368,0.1464,0.8723,8.9700
NNNPP,159,-9.4622,-0.0595,-0.0578,-0.0017,88950,0.1774,0.8493,8.9700
NPPNN,166,-10.2156,-0.0615,-0.0730,0.0115,92823,0.1585,0.8632,8.9700
PNNNP,159,-10.7270,-0.0675,-0.0677,0.0002,100003,0.1562,0.8649,8.9700
NPNPN,176,-11.2913,-0.0642,-0.0652,0.0010,104664,0.1388,0.8781,8.9700
PNNPN,175,-11.8706,-0.0678,-0.0751,0.0073,98237,0.1520,0.8681,8.9700
NPNNP,157,-12.6387,-0.0805,-0.0801,-0.0004,94699,0.1208,0.8922,8.9700
PNPNN,189,-12.8674,-0.0681,-0.0701,0.0020,85999,0.1723,0.8530,8.9700
PPNNN,178,-14.9477,-0.0840,-0.0872,0.0032,93878,0.1753,0.8508,8.9700
NNPNP,173,-15.5035,-0.0896,-0.0747,-0.0149,91986,0.2209,0.8191,8.9700
NNNNP,133,-20.1251,-0.1513,-0.1510,-0.0003,101161,0.1346,0.8814,8.9700
PNNNN,114,-20.9266,-0.1836,-0.1865,0.0029,122927,0.1658,0.8578,8.9700
NNNPN,117,-21.7984,-0.1863,-0.1928,0.0065,105870,0.1899,0.8404,8.9700
NPNNN,126,-23.2184,-0.1843,-0.1879,0.0036,110624,0.2009,0.8327,8.9700
NNNNN,105,-26.9927,-0.2571,-0.2594,0.0023,96478,0.1945,0.8372,8.9700
NNPNN,152,-27.0328,-0.1778,-0.1782,0.0003,113248,0.2291,0.8136,8.9700
