timestamp,open,high,low,close,volume,vwap,classification
2025-06-02 03:00:00,307.1200,309.0900,307.1200,308.8000,2908,308.5280,P
2025-06-02 03:01:00,309.0000,309.0000,308.9900,308.9900,699,308.9782,N
2025-06-02 03:02:00,309.0000,309.0000,308.8900,309.0000,1157,308.9392,P
2025-06-02 03:03:00,309.1000,309.1000,309.0900,309.0900,723,309.1111,N
2025-06-02 03:04:00,309.2000,309.2000,309.1400,309.1500,1039,309.1494,N
2025-06-02 03:05:00,309.1700,309.1700,309.1300,309.1300,949,309.1480,N
2025-06-02 03:06:00,309.0700,309.0700,309.0700,309.0700,348,309.0745,P
2025-06-02 03:07:00,309.0600,309.1300,309.0600,309.1300,709,309.0880,P
2025-06-02 03:08:00,309.1900,309.2600,309.1900,309.2600,4427,309.2329,P
2025-06-02 03:09:00,309.2600,309.2600,309.2000,309.2000,2737,309.2483,N
2025-06-02 03:10:00,309.1200,309.1200,309.0900,309.0900,886,309.1593,N
2025-06-02 03:11:00,309.0000,309.0000,309.0000,309.0000,398,308.9983,P
2025-06-02 03:12:00,308.8000,308.8500,308.8000,308.8200,643,308.8162,P
2025-06-02 03:13:00,308.9900,309.0000,308.9900,309.0000,628,308.9827,P
2025-06-02 03:18:00,308.8500,308.8500,308.8100,308.8100,564,308.8318,N
2025-06-02 03:22:00,308.9700,308.9900,308.9700,308.9900,1000,308.9804,P
2025-06-02 03:24:00,308.9400,308.9400,308.9400,308.9400,136,308.9399,P
2025-06-02 03:28:00,308.8100,308.8100,308.8100,308.8100,1123,308.8107,P
2025-06-02 03:29:00,308.7800,308.9800,308.7800,308.9700,2515,308.8722,P
2025-06-02 03:30:00,308.8800,308.9800,308.8800,308.8900,3041,308.9666,P
2025-06-02 03:32:00,308.8600,308.8700,308.8100,308.8100,555,308.8396,N
2025-06-02 03:33:00,308.7600,308.8300,308.7600,308.8300,477,308.8009,P
2025-06-02 03:38:00,309.0900,309.0900,309.0900,309.0900,334,309.0624,P
2025-06-02 03:40:00,309.1000,309.1000,309.1000,309.1000,328,309.1154,P
2025-06-02 03:47:00,309.0100,309.0300,308.2000,309.0200,2949,308.7702,P
2025-06-02 03:48:00,309.0800,309.1400,309.0800,309.1400,547,309.1281,P
2025-06-02 03:49:00,309.1500,309.2000,309.1500,309.2000,2595,309.1836,P
2025-06-02 03:50:00,309.1900,309.1900,309.1800,309.1800,1002,309.1454,N
2025-06-02 03:55:00,309.0500,309.0500,309.0500,309.0500,336,309.0512,P
2025-06-02 03:56:00,309.0000,309.0000,309.0000,309.0000,192,309.0010,P
2025-06-02 03:58:00,308.9900,308.9900,308.9900,308.9900,148,309.0020,P
2025-06-02 04:02:00,308.7800,308.7800,308.7400,308.7600,1501,308.7698,N
2025-06-02 04:03:00,308.7800,308.7800,308.7800,308.7800,1200,308.7800,P
2025-06-02 04:04:00,308.8200,308.8200,308.8000,308.8000,607,308.8035,N
2025-06-02 04:05:00,308.8000,308.8000,308.8000,308.8000,361,308.7867,P
2025-06-02 04:06:00,308.8200,308.8400,308.8200,308.8200,311,308.8275,P
2025-06-02 04:07:00,308.6900,308.7000,308.6900,308.7000,308,308.6951,P
2025-06-02 04:08:00,308.8100,308.8500,308.7700,308.8400,1033,308.8029,P
2025-06-02 04:09:00,308.7300,308.7300,308.6500,308.6500,2905,308.7238,N
2025-06-02 04:12:00,308.4400,308.4800,308.4400,308.4600,969,308.4804,P
2025-06-02 04:18:00,308.6000,308.6000,308.6000,308.6000,159,308.6145,P
2025-06-02 04:19:00,308.7200,308.7800,308.7100,308.7500,1951,308.7460,P
2025-06-02 04:22:00,308.7800,308.7800,308.7800,308.7800,107,308.7769,P
2025-06-02 04:24:00,308.6400,308.6400,308.6400,308.6400,100,308.6400,P
2025-06-02 04:26:00,308.6200,308.6200,308.6200,308.6200,106,308.6191,P
2025-06-02 04:27:00,308.5900,308.5900,308.5700,308.5700,242,308.5825,N
2025-06-02 04:28:00,308.4600,308.4900,308.4600,308.4700,759,308.4701,P
2025-06-02 04:29:00,308.5000,308.5000,308.4200,308.4200,1059,308.4740,N
