Column,Type,Description
plus_4_put_prev_vwap,float64,Previous day vwap for plus_4 put option
plus_5_strike,int64,Strike price for plus_5
plus_5_call_ticker,object,Option ticker symbol for plus_5 call
plus_5_call_open,float64,Open price for plus_5 call option
plus_5_call_high,float64,High price for plus_5 call option
plus_5_call_low,float64,Low price for plus_5 call option
plus_5_call_close,float64,Close price for plus_5 call option
plus_5_call_volume,float64,Trading volume for plus_5 call option
plus_5_call_vwap,float64,Volume-weighted average price for plus_5 call option
plus_5_call_prev_open,float64,Previous day open for plus_5 call option
plus_5_call_prev_close,float64,Previous day close for plus_5 call option
plus_5_call_prev_volume,float64,Previous day volume for plus_5 call option
plus_5_call_prev_vwap,float64,Previous day vwap for plus_5 call option
plus_5_put_ticker,object,Option ticker symbol for plus_5 put
plus_5_put_open,float64,Open price for plus_5 put option
plus_5_put_high,float64,High price for plus_5 put option
plus_5_put_low,float64,Low price for plus_5 put option
plus_5_put_close,float64,Close price for plus_5 put option
plus_5_put_volume,float64,Trading volume for plus_5 put option
plus_5_put_vwap,float64,Volume-weighted average price for plus_5 put option
plus_5_put_prev_open,float64,Previous day open for plus_5 put option
plus_5_put_prev_close,float64,Previous day close for plus_5 put option
plus_5_put_prev_volume,float64,Previous day volume for plus_5 put option
plus_5_put_prev_vwap,float64,Previous day vwap for plus_5 put option
minus_1_strike,int64,Strike price for minus_1
minus_1_call_ticker,object,Option ticker symbol for minus_1 call
minus_1_call_open,float64,Open price for minus_1 call option
minus_1_call_high,float64,High price for minus_1 call option
minus_1_call_low,float64,Low price for minus_1 call option
minus_1_call_close,float64,Close price for minus_1 call option
minus_1_call_volume,int64,Trading volume for minus_1 call option
minus_1_call_vwap,float64,Volume-weighted average price for minus_1 call option
minus_1_call_prev_open,float64,Previous day open for minus_1 call option
minus_1_call_prev_close,float64,Previous day close for minus_1 call option
minus_1_call_prev_volume,int64,Previous day volume for minus_1 call option
minus_1_call_prev_vwap,float64,Previous day vwap for minus_1 call option
minus_1_put_ticker,object,Option ticker symbol for minus_1 put
minus_1_put_open,float64,Open price for minus_1 put option
minus_1_put_high,float64,High price for minus_1 put option
minus_1_put_low,float64,Low price for minus_1 put option
minus_1_put_close,float64,Close price for minus_1 put option
minus_1_put_volume,int64,Trading volume for minus_1 put option
minus_1_put_vwap,float64,Volume-weighted average price for minus_1 put option
minus_1_put_prev_open,float64,Previous day open for minus_1 put option
