pattern,occurrences,total_change,avg_total_change,avg_internal_change,avg_gap_adjustment,avg_volume,std_dev,consistency,actual_data_total_change
PPPPP,886,152.3033,0.1719,0.1761,-0.0042,176494,0.2581,0.7948,59.6100
PPPNP,489,85.2378,0.1743,0.1748,-0.0005,359853,0.3016,0.7683,59.6100
NPPPP,471,71.1048,0.1510,0.1530,-0.0020,279291,0.3093,0.7638,59.6100
PPPPN,455,69.8475,0.1535,0.1536,-0.0001,321779,0.2580,0.7949,59.6100
PPNPP,475,68.2832,0.1438,0.1508,-0.0071,287680,0.3184,0.7585,59.6100
PNPPP,481,67.6300,0.1406,0.1491,-0.0085,308816,0.2687,0.7882,59.6100
PNNPP,348,25.7913,0.0741,0.0674,0.0067,419173,0.2431,0.8045,59.6100
PPNPN,319,20.5718,0.0645,0.0626,0.0019,433532,0.3018,0.7682,59.6100
PPNNP,318,20.4523,0.0643,0.0609,0.0034,407737,0.2545,0.7971,59.6100
NPPNP,329,19.0791,0.0580,0.0557,0.0023,424179,0.2392,0.8070,59.6100
NNPPP,312,15.8025,0.0506,0.0535,-0.0029,383212,0.1975,0.8351,59.6100
PNPNP,339,15.6037,0.0460,0.0408,0.0053,379008,0.2171,0.8216,59.6100
NPPPN,319,14.8837,0.0467,0.0472,-0.0005,470095,0.2310,0.8123,59.6100
PNPPN,290,12.0790,0.0417,0.0408,0.0008,415988,0.2254,0.8160,59.6100
NPNPP,321,11.1474,0.0347,0.0399,-0.0051,368923,0.2261,0.8156,59.6100
PPPNN,321,10.7261,0.0334,0.0308,0.0027,438874,0.2383,0.8076,59.6100
PNNNP,209,-14.1998,-0.0679,-0.0799,0.0120,455888,0.2775,0.7827,59.6100
PNPNN,237,-15.5752,-0.0657,-0.0736,0.0079,500193,0.2936,0.7730,59.6100
PPNNN,222,-16.2779,-0.0733,-0.0787,0.0053,503392,0.3545,0.7383,59.6100
NPNPN,231,-20.0983,-0.0870,-0.0882,0.0012,420043,0.2351,0.8097,59.6100
NNPNP,246,-24.5281,-0.0997,-0.0998,0.0001,537775,0.1993,0.8338,59.6100
NNNPP,220,-27.4486,-0.1248,-0.1210,-0.0037,508327,0.4206,0.7040,59.6100
PNNPN,258,-27.5785,-0.1069,-0.1092,0.0023,447871,0.2276,0.8146,59.6100
NNPPN,245,-27.7091,-0.1131,-0.1149,0.0018,491790,0.3305,0.7516,59.6100
NPNNP,247,-28.1305,-0.1139,-0.1160,0.0021,539836,0.2260,0.8157,59.6100
NPPNN,279,-30.0931,-0.1079,-0.1086,0.0008,478033,0.3218,0.7566,59.6100
NNNPN,183,-52.2108,-0.2853,-0.2952,0.0099,654360,0.2794,0.7816,59.6100
NNNNP,184,-60.3156,-0.3278,-0.3277,-0.0001,709299,0.3566,0.7372,59.6100
NPNNN,215,-61.0656,-0.2840,-0.2892,0.0052,539426,0.3351,0.7490,59.6100
PNNNN,186,-62.1919,-0.3344,-0.3300,-0.0044,584527,0.3370,0.7479,59.6100
NNPNN,194,-65.3968,-0.3371,-0.3361,-0.0010,676616,0.3106,0.7630,59.6100
NNNNN,170,-88.1437,-0.5185,-0.5215,0.0030,644210,0.4147,0.7069,59.6100
