pattern,occurrences,total_change,avg_total_change,avg_internal_change,avg_gap_adjustment,avg_volume,std_dev,consistency,actual_data_total_change
PPPPP,869,144.4781,0.1663,0.1712,-0.0050,180760,0.2778,0.7826,59.6900
PPPNP,508,82.4147,0.1622,0.1586,0.0037,334274,0.2795,0.7815,59.6900
PNPPP,490,75.9190,0.1549,0.1567,-0.0017,351163,0.3119,0.7623,59.6900
PPNPP,472,73.7043,0.1562,0.1599,-0.0037,315366,0.3252,0.7546,59.6900
PPPPN,442,66.0369,0.1494,0.1455,0.0039,293358,0.3222,0.7563,59.6900
NPPPP,474,62.0341,0.1309,0.1314,-0.0006,285806,0.3178,0.7589,59.6900
PNNPP,327,24.1113,0.0737,0.0617,0.0120,452844,0.3043,0.7667,59.6900
PPNNP,310,23.5296,0.0759,0.0745,0.0014,448046,0.2399,0.8065,59.6900
PNPPN,334,22.1315,0.0663,0.0581,0.0082,403626,0.3041,0.7668,59.6900
PNPNP,325,21.9220,0.0675,0.0686,-0.0011,392817,0.2224,0.8181,59.6900
NNPPP,274,19.7737,0.0722,0.0745,-0.0024,372725,0.3274,0.7533,59.6900
NPNPP,337,16.8537,0.0500,0.0516,-0.0015,388175,0.2247,0.8166,59.6900
NPPPN,327,15.8337,0.0484,0.0456,0.0028,399619,0.2463,0.8024,59.6900
PPPNN,331,15.6351,0.0472,0.0406,0.0067,367099,0.2124,0.8248,59.6900
NPPNP,314,9.3938,0.0299,0.0325,-0.0026,356572,0.2310,0.8124,59.6900
PPNPN,318,7.0474,0.0222,0.0236,-0.0015,392123,0.2349,0.8098,59.6900
PNNPN,263,-17.5717,-0.0668,-0.0742,0.0074,488852,0.3429,0.7446,59.6900
NPNPN,229,-20.5820,-0.0899,-0.0937,0.0039,450253,0.2490,0.8006,59.6900
PNPNN,253,-21.9459,-0.0867,-0.0875,0.0008,470400,0.2476,0.8015,59.6900
NPNNP,245,-22.0154,-0.0899,-0.0880,-0.0019,487372,0.2173,0.8215,59.6900
PNNNP,243,-23.1135,-0.0951,-0.0969,0.0018,546845,0.2352,0.8096,59.6900
NNPPN,231,-24.4161,-0.1057,-0.1104,0.0047,528043,0.2548,0.7969,59.6900
PPNNN,209,-25.4694,-0.1219,-0.1218,-0.0000,519066,0.2711,0.7867,59.6900
NNNPP,242,-30.3717,-0.1255,-0.1239,-0.0016,543943,0.2125,0.8247,59.6900
NNPNP,263,-30.3926,-0.1156,-0.1163,0.0007,529226,0.2536,0.7977,59.6900
NPPNN,249,-37.5547,-0.1508,-0.1509,0.0001,618806,0.2608,0.7931,59.6900
NPNNN,180,-56.7290,-0.3152,-0.3201,0.0049,597929,0.3397,0.7464,59.6900
NNNPN,204,-59.4540,-0.2914,-0.2967,0.0053,511064,0.2933,0.7732,59.6900
NNPNN,190,-60.4647,-0.3182,-0.3172,-0.0011,596509,0.2929,0.7735,59.6900
PNNNN,199,-60.6688,-0.3049,-0.2972,-0.0077,591062,0.3041,0.7668,59.6900
NNNNP,204,-65.1234,-0.3192,-0.3169,-0.0023,660443,0.3279,0.7531,59.6900
NNNNN,143,-65.3160,-0.4568,-0.4614,0.0046,642920,0.3086,0.7642,59.6900
