offset,bars_processed,chunks_formed,unique_patterns,actual_total_change,pattern_sum,verification_diff
0,50000,10000,32,59.1800,59.1800,0.000000
1,49999,9999,32,59.6900,59.6300,0.060000
2,49998,9999,32,59.4800,59.4100,0.070000
3,49997,9999,32,59.6800,59.6300,0.050000
4,49996,9999,32,59.6100,59.5800,0.030000
